"","TR","ClosestCarbonTaxRevenue","CarbonTaxLevel","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD","ClosestSlaughterTaxRevenue","SlaughterTaxLevel","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD","SCAUThreshold"
"1",1,1.00096790412497,0.36,-3.19219197277627,-0.00316097220712361,1.00320491090419,0.031,-0.217029829755916,-0.0336433296690219,0.0976027574881367
"2",11,10.9932911615296,4,-35.335801937532,-0.0350710348045984,11.0137680394741,0.344,-2.42596181117536,-0.378324511903082,0.0958762032202647
"3",21,20.9919374070137,7.73,-68.0133908951219,-0.0676753358248488,20.987821924129,0.663,-4.71033941311245,-0.739252062285968,0.0942603413545696
"4",31,31.0083234439196,11.56,-101.277671565631,-0.101056260068098,30.9926679213407,0.991,-7.09393887533413,-1.1209569309348,0.0923459856245217
"5",41,41.0011683034277,15.48,-135.004309152756,-0.135122217749798,40.9957384286541,1.328,-9.57922516831744,-1.52480710717779,0.0902543338699358
"6",51,51.0056703067016,19.51,-169.323876445929,-0.170042932621199,50.9896392674175,1.675,-12.1756999931542,-1.95351638647342,0.0881135494971018
"7",61,61.0044501182587,23.65,-204.189242710671,-0.20581446171781,60.9869644418403,2.034,-14.9001349109036,-2.41133373919204,0.0858251885318102
"8",71,71.0037615039678,27.91,-239.632741228274,-0.242519983067739,70.987659027711,2.407,-17.7688621703787,-2.90291964320795,0.0833949433921527
"9",81,81.0077389475964,32.3,-275.679058338607,-0.280243026362961,81.0021211044898,2.797,-20.8047883492074,-3.43473414770938,0.0807972697290752
"10",91,90.9532245549875,36.8,-312.103577238739,-0.318810987091333,91.0900892107049,3.21,-24.0522242550022,-4.01811723651844,0.0778663169691198
"11",101,101.015186609157,41.5,-349.557710171558,-0.358994093637756,101.000813107508,3.64,-27.4561319821472,-4.64761594007738,0.0751060806297988
"12",111,110.95764392063,46.3,-387.165203105447,-0.399938788122711,110.903841889091,4.1,-31.1031815659186,-5.34537453458902,0.0719981089217361
"13",121,120.967097055482,51.3,-425.625511316373,-0.442502240655952,121.00642610901,4.61,-35.1196591460392,-6.1464096153662,0.0684628670342269
"14",131,131.013909854692,56.5,-464.828329405021,-0.486689211467357,131.010863289165,5.17,-39.4409496705683,-7.05449955610264,0.0647685236651082
"15",141,141.070168824233,61.9,-504.657480458321,-0.532508543562184,141.047621451774,5.81,-44.1691080834642,-8.11839302345802,0.060703319908871
"16",151,150.934096396081,67.4,-544.280307511601,-0.579126386716702,150.991163372072,6.56,-49.2608561010769,-9.37814643252708,0.0562584752430727
"17",161,160.94082375458,73.2,-585.013459060632,-0.628256014093822,160.999153874864,7.5,-54.6862986252537,-10.9285382185319,0.051486663171896
"18",171,171.048952515243,79.3,-626.673062493399,-0.679920208022261,170.990782386151,8.74,-59.8741701727924,-12.8309293241029,0.0466462403991209
"19",181,181.064762302804,85.6,-668.416042053515,-0.733302535316793,181.004567421301,10.43,-63.4177700071054,-15.0408670041512,0.0422852032827987
"20",191,190.973635516638,92.1,-710.112061194642,-0.788439772981743,191.019011987276,12.61,-63.5257868255033,-17.2468754160731,0.0392860104320151
"21",201,201.050020673224,99,-752.850302691398,-0.847076122415314,201.018458837499,15.16,-59.9943701366391,-19.1352992692064,0.0378853608135425
"22",211,210.975489290058,106.1,-795.199692319378,-0.907568434073201,210.990578698793,17.96,-53.9612404447013,-20.6472870184696,0.0375506088754782
"23",221,221.008186223343,113.6,-838.163995283454,-0.971687683083611,220.997731356677,20.98,-46.4426216335734,-21.8613584480811,0.03790013651036
"24",231,230.988538433217,121.4,-880.952344929337,-1.03866007798856,230.998661771646,24.2,-38.1191138872193,-22.8496928217515,0.0386425182587071
"25",241,241.024189763645,129.6,-923.904041674509,-1.10943703938252,240.999099631517,27.63,-29.3569754689689,-23.6727214701961,0.0396461370217849
