"","CarbonTaxLevel","CarbonTaxRevenue","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD"
"1",0.01,0.0278356988898592,-0.0887033340038812,-0.0000878170910880161
"2",0.02,0.0556696237487869,-0.177404880575551,-0.00017563347849206
"3",0.03,0.0835017746304143,-0.266104639443185,-0.000263449162264423
"4",0.04,0.111332151588384,-0.354802610330083,-0.000351264142412211
"5",0.05,0.139160754676348,-0.443498792964391,-0.000439078418968092
"6",0.06,0.166987583947971,-0.532193187067847,-0.000526891991970174
"7",0.07,0.194812639456928,-0.620885792373329,-0.000614704861502224
"8",0.08,0.222635921256906,-0.709576608599747,-0.000702517027466154
"9",0.09,0.250457429401601,-0.798265635469065,-0.000790328490061942
"10",0.1,0.278277163944721,-0.88695287271149,-0.00087813924922639
"11",0.11,0.306095124939986,-0.975638320045704,-0.000965949304940455
"12",0.12,0.333911312441126,-1.06432197720527,-0.00105375865740612
"13",0.13,0.361725726501882,-1.15300384390571,-0.00114156730645165
"14",0.14,0.389538367176007,-1.24168391987088,-0.00122937525247807
"15",0.15,0.417349234517263,-1.3303622048311,-0.00131718249488882
"16",0.16,0.445158328579429,-1.41903869848714,-0.00140498903427205
"17",0.17,0.472965649416285,-1.50771340059511,-0.00149279487024997
"18",0.18,0.500771197081631,-1.59638631085673,-0.00158060000347368
"19",0.19,0.528574971629274,-1.685057429003,-0.00166840443328015
"20",0.2,0.556376973113037,-1.77372675473291,-0.00175620816044975
"21",0.21,0.584177201586744,-1.86239428780576,-0.00184401118469807
"22",0.22,0.61197565710424,-1.95106002792176,-0.00193181350479685
"23",0.23,0.639772339719376,-2.03972397480759,-0.00201961512374538
"24",0.24,0.667567249486018,-2.12838612817708,-0.00210741603861939
"25",0.25,0.695360386458047,-2.21704648773074,-0.0021952162502647
"26",0.26,0.723151750689323,-2.30570505329371,-0.00228301575964118
"27",0.27,0.75094134223379,-2.39436182440235,-0.0023708145665515
"28",0.28,0.77872916114532,-2.48301680092142,-0.00245861267038469
"29",0.29,0.806515207477833,-2.57166998256494,-0.00254641007079073
"30",0.3,0.834299481285296,-2.66032136893214,-0.00263420677049672
"31",0.31,0.862081982621595,-2.74897095993487,-0.00272200276544396
"32",0.32,0.889862711540757,-2.83761875505523,-0.0028097980590632
"33",0.33,0.917641668096664,-2.92626475427288,-0.00289759264987655
"34",0.34,0.945418852343361,-3.01490895709507,-0.00298538653709024
"35",0.35,0.97319426433479,-3.10355136337644,-0.0030731797244245
"36",0.36,1.00096790412497,-3.19219197277627,-0.00316097220712361
"37",0.37,1.02873977176793,-3.28083078497069,-0.00324876398694385
"38",0.38,1.05650986731769,-3.3694677996896,-0.00333655506729533
"39",0.39,1.08427819082824,-3.45810301672857,-0.00342434544309378
"40",0.4,1.11204474235365,-3.54673643579912,-0.00351213511770684
"41",0.41,1.13980952194803,-3.63536805642272,-0.00359992408889998
"42",0.42,1.1675725296653,-3.72399787872769,-0.00368771235857185
"43",0.43,1.19533376555966,-3.81262590210849,-0.00377549992706491
"44",0.44,1.22309322968522,-3.9012521262313,-0.00386328679261949
"45",0.45,1.25085092209604,-3.98987655094435,-0.00395107295592728
"46",0.46,1.27860684284618,-4.07849917604584,-0.00403885841732943
"47",0.47,1.30636099198982,-4.16712000114948,-0.00412664317607511
"48",0.48,1.33411336958116,-4.25573902582832,-0.00421442723559293
"49",0.49,1.36186397567432,-4.34435624987665,-0.0043022105924406
"50",0.5,1.38961281032327,-4.43297167338923,-0.0043899932467239
"51",0.51,1.41735987358234,-4.52158529571936,-0.0044777751977341
"52",0.52,1.44510516550588,-4.61019711631096,-0.00456555644825085
"53",0.53,1.47284868614765,-4.6988071356824,-0.00465333699807918
"54",0.54,1.50059043556226,-4.78741535278071,-0.00474111684813905
"55",0.55,1.52833041380376,-4.87602176763041,-0.00482889599087719
"56",0.56,1.55606862092644,-4.96462637984182,-0.00491667443672836
"57",0.57,1.58380505698448,-5.05322918924803,-0.0050044521794945
"58",0.58,1.61153972203219,-5.14183019546235,-0.00509222922222741
"59",0.59,1.63927261612371,-5.23042939837053,-0.00518000556182954
"60",0.6,1.66700373931331,-5.31902679773413,-0.00526778119895246
"61",0.61,1.69473309165563,-5.40762239265889,-0.00535555613458194
"62",0.62,1.72246067320464,-5.49621618340872,-0.00544333037237113
"63",0.63,1.75018648401449,-5.58480816994292,-0.00553110390870901
"64",0.64,1.77791052413983,-5.67339835143275,-0.00561887674051781
"65",0.65,1.80563279363497,-5.76198672765635,-0.00570664887528796
"66",0.66,1.8333532925542,-5.85057329840443,-0.00579442030608368
"67",0.67,1.86107202095156,-5.93915806386241,-0.00588219103483525
"68",0.68,1.88878897888204,-6.02774102280583,-0.00596996107070547
"69",0.69,1.91650416639956,-6.11632217562475,-0.00605773039482593
"70",0.7,1.94421758355858,-6.20490152195104,-0.00614549903224887
"71",0.71,1.97192923041359,-6.29347906133717,-0.00623326695264512
"72",0.72,1.9996391070192,-6.38205479325426,-0.00632103418051921
"73",0.73,2.02734721342926,-6.47062871819074,-0.00640880070934069
"74",0.74,2.055053549699,-6.55920083478127,-0.00649656653187763
"75",0.75,2.08275811588192,-6.64777114402949,-0.00658433166146294
"76",0.76,2.11046091203331,-6.73633964450794,-0.00667209608272337
"77",0.77,2.13816193820698,-6.8249063368275,-0.00675985980906527
"78",0.78,2.16586119445842,-6.9134712193848,-0.0068476228352507
"79",0.79,2.19355868084105,-7.00203429328113,-0.00693538515554906
"80",0.8,2.22125439740973,-7.0905955577535,-0.00702314677684659
"81",0.81,2.24894834421909,-7.17915501240429,-0.00711090770289818
"82",0.82,2.27664052132378,-7.26771265677596,-0.00719866793095983
"83",0.83,2.30433092877817,-7.35626849079961,-0.00728642744942931
"84",0.84,2.33201956621593,-7.44482301523928,-0.00737418564636838
"85",0.85,2.35970643450793,-7.53337525176258,-0.00746194373944165
"86",0.86,2.38739153331215,-7.62192567788422,-0.0075497011315328
"87",0.87,2.41507486268313,-7.71047429333242,-0.00763745782268152
"88",0.88,2.44275642267544,-7.79902109783181,-0.00772521381292277
"89",0.89,2.47043621334364,-7.88756609110872,-0.00781296910227774
"90",0.9,2.49811423474233,-7.97610927289215,-0.00790072369077918
"91",0.91,2.52579048692608,-8.06465064290647,-0.00798847757846871
"92",0.92,2.55346496994952,-8.15319020087837,-0.00807623076538555
"93",0.93,2.58113768386725,-8.24172794653522,-0.00816398325154535
"94",0.94,2.6088086287339,-8.33026387960413,-0.00825173503699167
"95",0.95,2.6364778046041,-8.41879799981045,-0.0083394861217545
"96",0.96,2.66414521153252,-8.50733030688092,-0.00842723650587743
"97",0.97,2.6918108495738,-8.59586080054184,-0.00851498618938545
"98",0.98,2.71947471878261,-8.68438948052071,-0.00860273517228399
"99",0.99,2.74713681921364,-8.77291634654367,-0.0086904834546622
"100",1,2.77479715092158,-8.86144139833668,-0.00877823103651595
"101",1.01,2.80245571396114,-8.94996463562754,-0.00886597791788046
"102",1.02,2.83011250838701,-9.03848605814129,-0.00895372409880021
"103",1.03,2.85776753425394,-9.12700566560464,-0.00904146957928845
"104",1.04,2.88542079161666,-9.21552345774677,-0.00912921435942726
"105",1.05,2.91307228052991,-9.30403943428993,-0.00921695843918699
"106",1.06,2.94072200104845,-9.39255359496448,-0.00930470181864876
"107",1.07,2.96836995322705,-9.48106593949551,-0.0093924444978111
"108",1.08,2.9960161371205,-9.56957646760945,-0.0094801864767235
"109",1.09,3.02366055278357,-9.65808517903251,-0.00956792775543702
"110",1.1,3.05130320027107,-9.74659207349237,-0.00965566833396636
"111",1.11,3.07894407963782,-9.83509715071358,-0.00974340821233119
"112",1.12,3.10658319093863,-9.92360041042576,-0.0098311473905659
"113",1.13,3.13422053422835,-10.0121018523518,-0.00991888586873846
"114",1.14,3.16185610956182,-10.1006014762222,-0.0100066236468646
"115",1.15,3.18948991699388,-10.1890992817599,-0.0100943607249671
"116",1.16,3.21712195657942,-10.2775952686945,-0.0101820971030861
"117",1.17,3.24475222837331,-10.3660894367508,-0.0102698327812754
"118",1.18,3.27238073243043,-10.4545817856543,-0.010357567759522
"119",1.19,3.3000074688057,-10.5430723151341,-0.0104453020379094
"120",1.2,3.327632437554,-10.6315610249155,-0.0105330356164372
"121",1.21,3.35525563873029,-10.7200479147253,-0.010620768495157
"122",1.22,3.38287707238947,-10.80853298429,-0.0107085006740867
"123",1.23,3.4104967385865,-10.8970162333367,-0.0107962321532742
"124",1.24,3.43811463737633,-10.9854976615909,-0.010883962932753
"125",1.25,3.46573076881393,-11.0739772687799,-0.0109716930125468
"126",1.26,3.49334513295427,-11.1624550546298,-0.011059422392696
"127",1.27,3.52095772985234,-11.2509310188671,-0.01114715107322
"128",1.28,3.54856855956314,-11.3394051612188,-0.0112348790541819
"129",1.29,3.57617762214168,-11.4278774814122,-0.0113226063355949
"130",1.3,3.60378491764297,-11.5163479791726,-0.0114103329174967
"131",1.31,3.63139044612206,-11.6048166542256,-0.0114980587999261
"132",1.32,3.65899420763398,-11.6932835063007,-0.0115857839829046
"133",1.33,3.68659620223378,-11.781748535122,-0.0116735084664671
"134",1.34,3.71419642997653,-11.8702117404177,-0.0117612322506538
"135",1.35,3.74179489091731,-11.958673121914,-0.0118489553355181
"136",1.36,3.76939158511119,-12.0471326793368,-0.0119366777210642
"137",1.37,3.79698651261329,-12.1355904124126,-0.0120243994073386
"138",1.38,3.82457967347869,-12.224046320869,-0.0121121203943693
"139",1.39,3.85217106776253,-12.3125004044315,-0.0121998406821876
"140",1.4,3.87976069551993,-12.4009526628266,-0.0122875602708473
"141",1.41,3.90734855680603,-12.4894030957826,-0.0123752791603569
"142",1.42,3.93493465167599,-12.5778517030247,-0.012462997350761
"143",1.43,3.96251898018497,-12.6662984842795,-0.0125507148421113
"144",1.44,3.99010154238813,-12.754743439274,-0.0126384316344142
"145",1.45,4.01768233834067,-12.8431865677339,-0.0127261477277176
"146",1.46,4.04526136809778,-12.9316278693867,-0.0128138631220435
"147",1.47,4.07283863171466,-13.020067343959,-0.0129015778174376
