"","SlaughterTaxLevel","SlaughterTaxRevenue","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD"
"1",0.001,0.0323940081684755,-0.00699606275783538,-0.0010839000382141
"2",0.002,0.0647858483546362,-0.0139924520623396,-0.00216789119563579
"3",0.003,0.0971755202850871,-0.0209891679152037,-0.0032519734847018
"4",0.004,0.129563023686385,-0.0279862103360671,-0.00433614691740708
"5",0.005,0.16194835828504,-0.0349835793179949,-0.0054204115056514
"6",0.006,0.194331523807518,-0.0419812748792054,-0.00650476726071636
"7",0.007,0.226712519980238,-0.048979296985479,-0.00758921419404965
"8",0.008,0.259091346529582,-0.0559776457027681,-0.00867375231603132
"9",0.009,0.291468003181878,-0.0629763209716145,-0.00975838163844819
"10",0.01,0.323842489663448,-0.0699753228493591,-0.0108431021689757
"11",0.011,0.356214805700535,-0.0769746513512644,-0.0119279139196165
"12",0.012,0.388584951019381,-0.0839743064149872,-0.0130128168986561
"13",0.013,0.420952925346151,-0.0909742879952091,-0.0140978111174918
"14",0.014,0.453318728407025,-0.0979745963128948,-0.0151828965833696
"15",0.015,0.485682359928157,-0.104975231022863,-0.0162680733032601
"16",0.016,0.518043819635577,-0.111976192389719,-0.0173533412901514
"17",0.017,0.550403107255443,-0.118977480264206,-0.0184387005465073
"18",0.018,0.582760222513777,-0.125979094847864,-0.0195241510816598
"19",0.019,0.615115165136534,-0.132981036042523,-0.020609692906665
"20",0.02,0.647467934849707,-0.139983303601056,-0.0216953260283963
"21",0.021,0.679818531379485,-0.146985897863459,-0.0227810504429987
"22",0.022,0.712166954451475,-0.153988818513298,-0.0238668661739598
"23",0.023,0.744513203791842,-0.160992066028129,-0.0249527732162564
"24",0.024,0.776857279126577,-0.167995639779264,-0.0260387715730244
"25",0.025,0.809199180181227,-0.174999540123849,-0.0271248612646355
"26",0.026,0.841538906682175,-0.182003766711105,-0.0282110422762272
"27",0.027,0.873876458354912,-0.189008320471601,-0.0292973146281156
"28",0.028,0.90621183469795,-0.196013221025268,-0.0303836864440786
"29",0.029,0.938545035848577,-0.203018430468987,-0.031470142700721
"30",0.03,0.97087606134227,-0.210023966709571,-0.0325566904380672
"31",0.031,1.00320491090419,-0.217029829755916,-0.0336433296690219
"32",0.032,1.03553158425943,-0.224036019615312,-0.0347300604064909
"33",0.033,1.06785608113306,-0.231042536299228,-0.0358168826634043
"34",0.034,1.10017840125008,-0.238049379814001,-0.0369037964526982
"35",0.035,1.13249854433543,-0.245056550168968,-0.0379908017872798
"36",0.036,1.16481651011401,-0.252064047372428,-0.039077898680066
"37",0.037,1.19713229831068,-0.259071871435012,-0.0401650871439934
"38",0.038,1.22944590865023,-0.266080022361919,-0.0412523671919763
"39",0.039,1.26175734085739,-0.273088500165073,-0.042339738836952
"40",0.04,1.29406659465688,-0.280097304851168,-0.0434272020918348
"41",0.041,1.32637366977331,-0.28710643642826,-0.0445147569695369
"42",0.042,1.35867856593129,-0.294115894905744,-0.0456024034830398
"43",0.043,1.39098128285535,-0.301125680293438,-0.0466901416452396
"44",0.044,1.42328182026997,-0.308135792598222,-0.0477779714690632
"45",0.045,1.45558017789958,-0.315146231828365,-0.0488658929674338
"46",0.046,1.48787635546858,-0.322156997994199,-0.0499539061533216
"47",0.047,1.52017035270128,-0.329168091101948,-0.0510420110396196
"48",0.048,1.55246216932197,-0.336179511161617,-0.0521302076392894
"49",0.049,1.58475180505488,-0.343191258181292,-0.0532184959652447
"50",0.05,1.61703925962416,-0.350203332167794,-0.0543068760304385
"51",0.051,1.64932453275396,-0.357215733131085,-0.0553953478478143
"52",0.052,1.68160762416834,-0.364228461079279,-0.0564839114302775
"53",0.053,1.71388853359132,-0.371241516021144,-0.0575725667908001
"54",0.054,1.74616726074686,-0.378254897964837,-0.0586613139423077
"55",0.055,1.77844380535888,-0.385268606917506,-0.059750152897732
"56",0.056,1.81071816715125,-0.392282642889555,-0.0608390836700365
"57",0.057,1.84299034584777,-0.399297005886709,-0.0619281062721584
"58",0.058,1.87526034117221,-0.406311695918717,-0.063017220717038
"59",0.059,1.90752815284827,-0.413326712994504,-0.0641064270176098
"60",0.06,1.93979378059961,-0.420342057120052,-0.0651957251868342
"61",0.061,1.97205722414984,-0.42735772830612,-0.0662851152376441
"62",0.062,2.00431848322251,-0.43437372655842,-0.067374597183002
"63",0.063,2.03657755754111,-0.441390051887637,-0.0684641710358412
"64",0.064,2.06883444682909,-0.448406704300069,-0.0695538368091238
"65",0.065,2.10108915080987,-0.455423683803787,-0.0706435945157888
"66",0.066,2.13334166920677,-0.462440990407714,-0.0717334441688003
"67",0.067,2.16559200174309,-0.469458624120293,-0.0728233857810995
"68",0.068,2.19784014814207,-0.476476584948415,-0.0739134193656529
"69",0.069,2.23008610812691,-0.48349487290001,-0.0750035449353992
"70",0.07,2.26232988142073,-0.4905134879846,-0.0760937625032899
"71",0.071,2.29457146774663,-0.497532430208366,-0.0771840720822964
"72",0.072,2.32681086682764,-0.504551699582137,-0.0782744736853551
"73",0.073,2.35904807838674,-0.511571296110034,-0.0793649673254506
"74",0.074,2.39128310214687,-0.518591219802687,-0.0804555530155299
"75",0.075,2.42351593783089,-0.525611470667982,-0.0815462307685429
"76",0.076,2.45574658516164,-0.5326320487126,-0.0826370005974566
"77",0.077,2.48797504386188,-0.539652953944227,-0.0837278625152371
"78",0.078,2.52020131365435,-0.546674186372684,-0.0848188165348438
"79",0.079,2.55242539426171,-0.55369574600455,-0.0859098626692431
"80",0.08,2.58464728540659,-0.560717632847272,-0.087001000931378
"81",0.081,2.61686698681154,-0.567739846909518,-0.0880922313342378
"82",0.082,2.64908449819908,-0.57476238819828,-0.0891835538907753
"83",0.083,2.68129981929168,-0.581785256721872,-0.090274968613958
"84",0.084,2.71351294981175,-0.588808452487939,-0.0913664755167646
"85",0.085,2.74572388948164,-0.595831975503742,-0.0924580746121364
"86",0.086,2.77793263802366,-0.602855825778875,-0.093549765913089
"87",0.087,2.81013919516006,-0.60988000331929,-0.0946415494325517
"88",0.088,2.84234356061306,-0.61690450813208,-0.0957334251835114
"89",0.089,2.8745457341048,-0.623929340226056,-0.0968253931789508
"90",0.09,2.90674571535737,-0.630954499608862,-0.0979174534318018
"91",0.091,2.93894350409284,-0.637979986288443,-0.0990096059550866
"92",0.092,2.97113910003318,-0.645005800271875,-0.100101850761762
"93",0.093,3.00333250290035,-0.652031941566278,-0.101194187864791
"94",0.094,3.03552371241624,-0.659058410178389,-0.102286617277153
"95",0.095,3.06771272830268,-0.666085206118609,-0.103379139011854
"96",0.096,3.09989955028146,-0.673112329393177,-0.104471753081819
"97",0.097,3.13208417807432,-0.680139780009654,-0.105564459500104
"98",0.098,3.16426661140295,-0.687167557974874,-0.106657258279604
"99",0.099,3.19644684998896,-0.694195663294522,-0.107750149433334
"100",0.1,3.22862489355394,-0.701224095979939,-0.108843132974312
"101",0.101,3.26080074181942,-0.708252856038769,-0.109936208915477
"102",0.102,3.29297439450688,-0.715281943473201,-0.11102937726983
"103",0.103,3.32514585133773,-0.722311358294462,-0.112122638050348
"104",0.104,3.35731511203335,-0.729341100510354,-0.113215991270014
"105",0.105,3.38948217631505,-0.736371170127043,-0.114309436941831
"106",0.106,3.42164704390411,-0.743401567152972,-0.11540297507877
"107",0.107,3.45380971452173,-0.750432291592489,-0.116496605693845
"108",0.108,3.48597018788908,-0.757463343456919,-0.117590328799997
"109",0.109,3.51812846372728,-0.764494722748907,-0.118684144410222
"110",0.11,3.55028454175738,-0.77152642948036,-0.119778052537564
"111",0.111,3.58243842170038,-0.778558463656751,-0.120872053194953
