"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.1115,0.24675,0.30775,0.34075,NA
"Δ Consumer price (USD/kg)",0.942920634706522,0.106682026349249,0.221759868399191,0.317816016474833,NA
"Δ Consumer price (%)",0.127569964378402,0.0232691400417147,0.0245589408728077,0.0171992324309242,NA
"Δ Producer price (USD/kg)",-1.16857936529348,-0.14006797365075,-0.0859901316008091,-0.0229339835251672,NA
"Δ Producer price (%)",-0.158099868129648,-0.0305511753551487,-0.00952303305766627,-0.00124111716455162,NA
"Δ Consumption (kg)",-2.50511200707957,-0.213800978208738,-0.13937016619111,-0.00455529301168056,-2.8628384444911
"Δ Consumption (%)",-0.0990350211072008,-0.00692608373789764,-0.00631443722825552,-0.000876388666682166,-0.0343127602555266
"Tax revenue (USD)",48.1212993917615,7.56415964595798,6.74966485731168,1.76959813390627,64.2047220289375
"Δ Emissions (kg CO2-eq.)",-211.58176011794,-2.11021565492024,-1.71564674581259,-0.0620886437492061,-215.469711162422
"Δ Emissions (%)",-0.0990350211072008,-0.00692608373789762,-0.00631443722825561,-0.000876388666682166,-0.0774052219467216
"Δ Direct deaths",-0.0132094948402464,-0.198622393902394,-0.00288479396818825,-0.00274082399112707,-0.217457506701955
"Δ Direct deaths (%)",-0.0990350211072008,-0.00692608373789767,-0.00631443722825553,-0.000876388666682185,-0.00671266827215818
"Δ Total deaths",-0.0143994039882167,-0.229263650017259,-0.116191852196952,-0.0271224457140988,-0.386977351916526
"Δ Total deaths (%)",-0.0990350211072009,-0.00692608373789763,-0.00631443722825548,-0.000876388666682188,-0.00468519241800484
"Δ Direct time in agriculture (days)",-14.5040253345906,-9.73249730121734,-0.484645386655615,-0.893841750732577,-25.6150097731961
"Δ Direct time in agriculture (%)",-0.0990350211072009,-0.0069260837378977,-0.00631443722825539,-0.000876388666682163,-0.00967219114139521
"Δ Total time in agriculture (days)",-14.8922756908712,-9.90749813228172,-0.620778192367126,-0.98208436750383,-26.4026363830238
"Δ Total time in agriculture (%)",-0.0990350211072009,-0.00692608373789759,-0.00631443722825552,-0.00087638866668217,-0.00943035420318129
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
