"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",1,1,1,1,NA
"Δ Consumer price (USD/kg)",0.482272270058932,0.257982748888489,0.506356239323175,0.642556154335765,NA
"Δ Consumer price (%)",0.0652477568605314,0.0562703664118675,0.0560767510906425,0.0347731771699956,NA
"Δ Producer price (USD/kg)",-0.517727729941068,-0.742017251111511,-0.493643760676825,-0.357443845664235,NA
"Δ Producer price (%)",-0.0700446099441335,-0.161846413311997,-0.0546688993739355,-0.0193437695518703,NA
"Δ Consumption (kg)",-1.08902607828151,-1.19698269882304,-0.806357579382233,-0.0711883528066011,-3.16355470929338
"Δ Consumption (%)",-0.0430526540705992,-0.0387762604003103,-0.0365336029775212,-0.0136958622506832,-0.0379170171142934
"Tax revenue (USD)",24.2061874640865,29.671973886105,21.2653110671068,5.1266116471934,80.2700840644916
"Δ Emissions (kg CO2-eq.)",-91.979142571656,-11.8142192373834,-9.92626180219531,-0.970297248753965,-114.689920859989
"Δ Emissions (%)",-0.0430526540705992,-0.0387762604003104,-0.0365336029775213,-0.0136958622506831,-0.0412011448445642
"Δ Direct deaths",-0.00574245156356254,-1.11200412220688,-0.0166906271605861,-0.0428325345396745,-1.1772697354707
"Δ Direct deaths (%)",-0.0430526540705992,-0.0387762604003103,-0.0365336029775212,-0.0136958622506831,-0.036340990572919
"Δ Total deaths",-0.00625973066695723,-1.28355176313438,-0.6722542079271,-0.423859064504125,-2.38592476623257
"Δ Total deaths (%)",-0.0430526540705993,-0.0387762604003105,-0.0365336029775214,-0.0136958622506832,-0.0288867463930914
"Δ Direct time in agriculture (days)",-6.30521181679168,-54.488201988137,-2.80402536297845,-13.9686122805404,-77.5660514484475
"Δ Direct time in agriculture (%)",-0.0430526540705992,-0.0387762604003103,-0.0365336029775212,-0.0136958622506832,-0.0292888303512471
"Δ Total time in agriculture (days)",-6.47399259852787,-55.4679588106685,-3.59165246200563,-15.3476336781061,-80.8812375493082
"Δ Total time in agriculture (%)",-0.0430526540705992,-0.0387762604003104,-0.0365336029775213,-0.0136958622506832,-0.0288887332089322
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
