"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.5,2.5,2.5,2.5,NA
"Δ Consumer price (USD/kg)",1.27606424611325,0.729664635258694,1.32366288263303,1.6513542218463,NA
"Δ Consumer price (%)",0.172641752051471,0.159152100521014,0.146589906933013,0.0893662484425847,NA
"Δ Producer price (USD/kg)",-1.22393575388675,-1.77033536474131,-1.17633711736697,-0.848645778153699,NA
"Δ Producer price (%)",-0.165589164960191,-0.386139848788646,-0.130274219228432,-0.0459261183620802,NA
"Δ Consumption (kg)",-2.62818504556889,-3.19638593086924,-1.94804070468787,-0.16969357176127,-7.94230525288728
"Δ Consumption (%)",-0.103900488571359,-0.103546937910752,-0.0882597838835241,-0.0326471914581688,-0.0951930824259192
"Tax revenue (USD)",56.6675712419978,69.1814266351469,50.3090698545028,12.5702660705968,188.728333802244
"Δ Emissions (kg CO2-eq.)",-221.976508948749,-31.5483291376794,-23.9803810747077,-2.31292338310611,-279.818142544242
"Δ Emissions (%)",-0.103900488571359,-0.103546937910752,-0.088259783883524,-0.0326471914581688,-0.100521717467888
"Δ Direct deaths",-0.0138584608993703,-2.96946174308584,-0.0403220877771128,-0.102101052869865,-3.12574334463219
"Δ Direct deaths (%)",-0.103900488571359,-0.103546937910752,-0.088259783883524,-0.0326471914581689,-0.0964881759873201
"Δ Total deaths",-0.0151068288044552,-3.42755730827124,-1.62406678429561,-1.01036413603359,-6.07709505740489
"Δ Total deaths (%)",-0.103900488571359,-0.103546937910752,-0.0882597838835242,-0.0326471914581689,-0.0735762946989975
"Δ Direct time in agriculture (days)",-15.2165900675086,-145.503625411206,-6.77411074655494,-33.2973529654902,-200.79167919076
"Δ Direct time in agriculture (%)",-0.103900488571359,-0.103546937910752,-0.0882597838835239,-0.0326471914581689,-0.075818651561358
"Δ Total time in agriculture (days)",-15.6239146811106,-148.119938016469,-8.67690137970759,-36.5845629831722,-209.00531706046
"Δ Total time in agriculture (%)",-0.103900488571359,-0.103546937910752,-0.0882597838835241,-0.0326471914581688,-0.074651415170632
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
