"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0052730156587473,0.929006010947592,0.0206987911905945,0.60167896644608,NA
"Δ Consumer price (USD/kg)",0.0333031143588434,0.196069088630251,0.040234419602756,0.308445139675868,NA
"Δ Consumer price (%)",0.00450565716357434,0.0427659582154233,0.00445578696997198,0.0166921091904575,NA
"Δ Producer price (USD/kg)",0.0280300987000963,-0.732936922317341,0.0195356284121608,-0.293233826770212,NA
"Δ Producer price (%)",0.00379225839490439,-0.159865841236578,0.00216348587573904,-0.0158689193803724,NA
"Δ Consumption (kg)",0.0580877954915451,-1.18129122665697,0.0316001071088223,-0.0583701102914871,-1.14997343434809
"Δ Consumption (%)",0.00229639474654964,-0.0382679350825142,0.00143170449026513,-0.0112297722673991,-0.0137830909840339
"Tax revenue (USD)",0.133688354955472,27.5800195688344,0.457510944560313,3.09228686416191,31.2635057325121
"Δ Emissions (kg CO2-eq.)",4.90609520721591,-11.6593444071043,0.38899731850961,-0.795584603272957,-7.15983648465173
"Δ Emissions (%)",0.00229639474654964,-0.0382679350825141,0.00143170449026515,-0.0112297722673989,-0.00257209576792414
"Δ Direct deaths",0.000306297855209026,-1.09742665024399,0.000654084018645973,-0.0351200676315258,-1.13158633600166
"Δ Direct deaths (%)",0.00229639474654962,-0.0382679350825143,0.00143170449026521,-0.0112297722673991,-0.0349307954923671
"Δ Total deaths",0.000333889116216707,-1.26672544076169,0.0263447700102581,-0.347538598208136,-1.58758537984335
"Δ Total deaths (%)",0.0022963947465496,-0.0382679350825143,0.00143170449026517,-0.0112297722673991,-0.0192211325746574
"Δ Direct time in agriculture (days)",0.336315045019489,-53.7739058619552,0.109886115132525,-11.4534106674619,-64.7811153692651
"Δ Direct time in agriculture (%)",0.00229639474654947,-0.0382679350825142,0.00143170449026524,-0.0112297722673991,-0.0244612567300272
"Δ Total time in agriculture (days)",0.345317679325433,-54.740818867341,0.140752199023169,-12.5841241605654,-66.8388731495577
"Δ Total time in agriculture (%)",0.00229639474654953,-0.0382679350825142,0.0014317044902652,-0.0112297722673992,-0.023873155665133
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
