"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0131825391468682,2.32251502736898,0.0517469779764863,1.5041974161152,NA
"Δ Consumer price (USD/kg)",0.0911742547976706,0.563797794421115,0.107035556634614,0.796533463856946,NA
"Δ Consumer price (%)",0.0123351807232284,0.122973759334551,0.0118537223423385,0.0431059590257297,NA
"Δ Producer price (USD/kg)",0.0779917156508025,-1.75871723294787,0.0552885786581268,-0.707663952258255,NA
"Δ Producer price (%)",0.0105516838015535,-0.383605739295453,0.00612296960675623,-0.0382966124013451,NA
"Δ Consumption (kg)",0.161411119882704,-3.17083780910137,0.0893731061728147,-0.141339560778649,-3.0613931438245
"Δ Consumption (%)",0.00638109338797831,-0.102719306380753,0.00404922290218558,-0.0271921891528433,-0.036692552174608
"Tax revenue (USD)",0.335582951157252,64.3292970867082,1.14676693951098,7.60591472736549,73.417561704742
"Δ Emissions (kg CO2-eq.)",13.6327831852932,-31.2961691758305,1.10018293698732,-1.92645821341297,-18.489661266963
"Δ Emissions (%)",0.00638109338797832,-0.102719306380753,0.00404922290218549,-0.0271921891528431,-0.00664221586583058
"Δ Direct deaths",0.000851123362637429,-2.94572738439507,0.00184991526272593,-0.0850410408472402,-3.02806738661694
"Δ Direct deaths (%)",0.00638109338797827,-0.102719306380753,0.0040492229021856,-0.0271921891528432,-0.0934730291925937
"Δ Total deaths",0.000927792416791418,-3.4001614764249,0.0745096818538222,-0.841542916041554,-4.16626691819584
"Δ Total deaths (%)",0.00638109338797836,-0.102719306380753,0.00404922290218548,-0.0271921891528433,-0.0504416139080048
"Δ Direct time in agriculture (days)",0.934533452175884,-144.340641835358,0.310785764137961,-27.7337155107731,-170.829038129818
"Δ Direct time in agriculture (%)",0.00638109338797817,-0.102719306380753,0.00404922290218566,-0.0271921891528433,-0.0645048010491592
"Δ Total time in agriculture (days)",0.959549469274123,-146.936042737696,0.398082866745796,-30.4716673097957,-176.050077711472
"Δ Total time in agriculture (%)",0.00638109338797818,-0.102719306380753,0.00404922290218558,-0.0271921891528432,-0.0628806368512594
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
