"","TR","CarbonTaxLevel","SlaughterTaxLevel","SCAUThreshold"
"1",0,0.01,0.001,0.0820285815370992
"3",20,7.36,0.631,0.0944988840081681
"5",40,15.08,1.294,0.0904317863228044
"7",60,23.23,1.998,0.0860300335791378
"9",80,31.9,2.757,0.0811993572451324
"11",100,41,3.6,0.0752265617859268
"13",120,50.8,4.56,0.0687729205518355
"15",140,61.3,5.74,0.0610955503956326
"17",160,72.6,7.39,0.0520106102500471
"19",180,84.9,10.24,0.0426342751574959
"21",200,98.3,14.89,0.0379716702606819
"23",220,112.8,20.67,0.0378331876612219
"25",240,128.7,27.28,0.0395212267575869
