"","TR","ClosestCarbonTaxRevenue","CarbonTaxLevel","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD","ClosestSlaughterTaxRevenue","SlaughterTaxLevel","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD","SCAUThreshold"
"1",1,1.00106180448117,0.36,-2.93135765000417,-0.000807384197839212,1.00324387622377,0.031,0.0570343703207215,-0.032386383875935,0.0946322572211727
"2",11,11.0049799354883,4,-32.4136084478393,-0.00879240582805274,10.9870946025525,0.343,0.663070692288841,-0.362746288477404,0.0934491208079103
"3",21,21.009346824572,7.72,-62.2406098624011,-0.0166236152111859,21.0071373809847,0.663,1.34909984041366,-0.710118643197475,0.0916945430560058
"4",31,31.0035192296724,11.52,-92.3808814108593,-0.024289799277951,31.0075416382712,0.99,2.12401652580463,-1.0743429389469,0.0900001098672577
"5",41,41.0026084840322,15.41,-122.879326646187,-0.0318002944552102,40.9923062051229,1.325,3.00296126858903,-1.45750247974175,0.0882949393035235
"6",51,50.9949268773552,19.39,-153.698464555338,-0.0391448957145851,50.9885462671562,1.67,4.00723648104129,-1.86302843548606,0.0864669797152396
"7",61,60.9934510569671,23.47,-184.874993812587,-0.0463328060370372,61.0136110752422,2.027,5.16329478579422,-2.29464259873463,0.0845249570213217
"8",71,71.0092773557489,27.66,-216.439598981202,-0.0533724502825169,70.9938344942986,2.395,6.49258516954214,-2.75257244667718,0.0825919474097939
"9",81,80.8906602266064,31.9,-247.90121844511,-0.060162582192675,81.0090339942752,2.779,8.04473148259625,-3.24466601803686,0.080372326513084
"10",91,91.1058463430883,36.4,-280.750725751561,-0.0670249948491893,91.0148454774566,3.18,9.86520077726919,-3.77407147811859,0.0783955442264981
"11",101,101.048719890475,40.9,-313.029744142049,-0.0735580678416654,100.979443799728,3.6,12.0144701581118,-4.34524656858923,0.0760926772266464
"12",111,110.939669935911,45.5,-345.424088233968,-0.0799232207974481,111.050220944191,4.05,14.6222487555106,-4.97528442797268,0.073548472064074
"13",121,120.976148306173,50.3,-378.566180666372,-0.0862583830671487,121.082407425131,4.53,17.7872986151449,-5.66608380689545,0.0710333118288816
"14",131,130.932559935146,55.2,-411.691926828141,-0.0924362415448563,130.92500774722,5.04,21.6237720882954,-6.41790799168444,0.0685033015769733
"15",141,140.996892320506,60.3,-445.40167158184,-0.0985937391722324,140.930768096341,5.61,26.5319540933376,-7.27374303173283,0.0657733527808951
"16",151,150.957891097521,65.5,-478.957964876854,-0.104626680754926,150.949429027522,6.25,32.8580738671051,-8.24318342411024,0.0628878135133516
"17",161,160.994738467019,70.9,-512.928853715987,-0.110674366407683,161.043503893128,6.99,41.243457842108,-9.3559641868073,0.0599410426631863
"18",171,171.088146873684,76.5,-547.21222795804,-0.116761265224626,171.030577259472,7.85,52.3161121951847,-10.6077573857785,0.0571469413641889
"19",181,181.048723956549,82.2,-581.119371437325,-0.122815315646498,180.957263997045,8.87,66.9467174156989,-11.9940476494557,0.0545913070041884
"20",191,191.043824726544,88.1,-615.170229930084,-0.128986111165798,190.989845216792,10.1,86.0162491146357,-13.4852064034848,0.0524988704662175
"21",201,201.059842974956,94.2,-649.265354793849,-0.13532148975474,201.001650632657,11.53,109.082544992177,-14.9621648670691,0.051146955591797
"22",211,210.928562927693,100.4,-682.776491446489,-0.141772970701647,210.997263812233,13.13,134.966897462491,-16.3252319152591,0.050529580339436
"23",221,220.958807665859,106.9,-716.691261488684,-0.148611505253646,220.984306837389,14.86,162.2861395871,-17.5240081629021,0.0505874725276483
"24",231,230.981537286085,113.6,-750.370411984662,-0.155803925615873,230.977437032561,16.69,190.031198342937,-18.5558208262992,0.051108736225817
"25",241,240.991402539549,120.5,-783.729940539427,-0.163427017353116,240.978494737212,18.6,217.588978778,-19.439259018126,0.0519468585987509
