"","CarbonTaxLevel","CarbonTaxRevenue","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD"
"1",0.01,0.0278357712849981,-0.0814638201103008,-0.0000224706589162516
"2",0.02,0.0556699133360773,-0.162925516053321,-0.0000449388404076267
"3",0.03,0.0835024262169696,-0.244385087599468,-0.000067404544645322
"4",0.04,0.111333309991416,-0.325842534518486,-0.0000898677718327578
"5",0.05,0.139162564723167,-0.40729785658128,-0.000112328522073546
"6",0.06,0.166990190475982,-0.488751053558261,-0.000134786795586345
"7",0.07,0.194816187313629,-0.570202125217747,-0.000157242592540713
"8",0.08,0.222640555299887,-0.651651071329141,-0.000179695913136713
"9",0.09,0.250463294498543,-0.733097891669033,-0.000202146757453614
"10",0.1,0.278284404973393,-0.814542585993479,-0.000224595125861926
"11",0.11,0.306103886788242,-0.895985154084443,-0.000247041018256677
"12",0.12,0.333921740006906,-0.977425595704688,-0.000269484435142464
"13",0.13,0.361737964693208,-1.05886391062917,-0.000291925376274427
"14",0.14,0.389552560910983,-1.14030009861447,-0.000314363842249005
"15",0.15,0.417365528724073,-1.2217341594345,-0.000336799833100809
"16",0.16,0.44517686819633,-1.30316609286076,-0.000359233348581428
"17",0.17,0.472986579391614,-1.38459589866004,-0.000381664389745157
"18",0.18,0.500794662373793,-1.46602357662617,-0.000404092955942847
"19",0.19,0.528601117206756,-1.54744912646687,-0.000426519048146057
"20",0.2,0.556405943954389,-1.62887254797602,-0.000448942665684793
"21",0.21,0.584209142680584,-1.71029384094767,-0.000471363809361192
"22",0.22,0.612010713449256,-1.7917130051204,-0.00049378247874457
"23",0.23,0.639810656324312,-1.87313004030432,-0.000516198674959556
"24",0.24,0.66760897136969,-1.95454494621107,-0.000538612396976612
"25",0.25,0.695405658649328,-2.035957722608,-0.00056102364633992
"26",0.26,0.723200718227161,-2.1173683693015,-0.000583432421817909
"27",0.27,0.750994150167145,-2.19877688605112,-0.000605838725240032
"28",0.28,0.778785954533262,-2.28018327255528,-0.000628242555442693
"29",0.29,0.806576131389445,-2.36158752873136,-0.000650643912358639
"30",0.3,0.834364680799733,-2.44298965414205,-0.000673042798194662
"31",0.31,0.862151602828055,-2.5243896487745,-0.000695439209567522
"32",0.32,0.889936897538472,-2.60578751219356,-0.000717833151105546
"33",0.33,0.917720564994961,-2.68718324427948,-0.000740224620375041
"34",0.34,0.945502605261544,-2.76857684478998,-0.000762613616843516
"35",0.35,0.973283018402289,-2.8499683133798,-0.000785000142447534
"36",0.36,1.00106180448117,-2.93135765000417,-0.000807384197839212
"37",0.37,1.02883896356227,-3.01274485431217,-0.000829765780281266
"38",0.38,1.05661449570966,-3.09412992607467,-0.000852144893301376
"39",0.39,1.08438840098743,-3.17551286498167,-0.000874521534691336
"40",0.4,1.11216067945957,-3.25689367099824,-0.000896895704849243
"41",0.41,1.13993133119025,-3.33827234369882,-0.000919267406720187
"42",0.42,1.16770035624354,-3.4196488829123,-0.000941636638068649
"43",0.43,1.19546775468353,-3.50102328845591,-0.000964003397524255
"44",0.44,1.22323352657435,-3.58239556003164,-0.000986367687069167
"45",0.45,1.25099767198013,-3.66376569740423,-0.00100872950897887
"46",0.46,1.27876019096501,-3.74513370032825,-0.00103108886131517
"47",0.47,1.30652108359315,-3.82649956854245,-0.00105344574218932
"48",0.48,1.33428034992866,-3.90786330188487,-0.00107580015562614
"49",0.49,1.36203799003562,-3.9892249002777,-0.00109815210177391
"50",0.5,1.38979400397845,-4.07058436301674,-0.0011205015777232
"51",0.51,1.41754839182108,-4.15194169034203,-0.00114284858725491
"52",0.52,1.44530115362787,-4.23329688170527,-0.00116519312548535
"53",0.53,1.47305228946296,-4.31464993697404,-0.00118753519786763
"54",0.54,1.5008017993905,-4.39600085603384,-0.00120987480131729
"55",0.55,1.52854968347494,-4.4773496382165,-0.00123221193585324
"56",0.56,1.55629594178015,-4.55869628393725,-0.00125454660669738
"57",0.57,1.5840405743706,-4.64004079255037,-0.00127687880708055
"58",0.58,1.61178358131052,-4.72138316385627,-0.00129920853809065
"59",0.59,1.63952496266422,-4.80272339752044,-0.00132153581023078
"60",0.6,1.66726471849583,-4.88406149354442,-0.00134386061073996
"61",0.61,1.69500284886978,-4.96539745142645,-0.00136618294491622
"62",0.62,1.72273935385016,-5.04673127127126,-0.00138850281039085
"63",0.63,1.75047423350144,-5.12806295255429,-0.00141082021411526
"64",0.64,1.77820748788797,-5.20939249497287,-0.00143313514994073
"65",0.65,1.80593911707376,-5.29071989875465,-0.00145544762052144
"66",0.66,1.83366912112362,-5.3720451629265,-0.00147775762281932
"67",0.67,1.86139750010137,-5.45336828802195,-0.00150006516813084
"68",0.68,1.88912425407191,-5.53468927299429,-0.00152237023736251
"69",0.69,1.91684938309903,-5.61600811842645,-0.00154467285285806
"70",0.7,1.94457288724732,-5.69732482374644,-0.00156697299786143
"71",0.71,1.97229476658119,-5.77863938866123,-0.00158927067877193
"72",0.72,2.00001502116529,-5.85995181257736,-0.00161156589590489
"73",0.73,2.02773365106346,-5.94126209600824,-0.00163385865197077
"74",0.74,2.05545065634072,-6.02257023786797,-0.00165614893368057
"75",0.75,2.08316603706094,-6.10387623866387,-0.00167843676957927
"76",0.76,2.11087979328888,-6.1851800977105,-0.00170072212294131
"77",0.77,2.13859192508864,-6.26648181518965,-0.00172300502921707
"78",0.78,2.16630243252514,-6.34778139025225,-0.00174528546144551
"79",0.79,2.19401131566258,-6.42907882298816,-0.00176756343504034
"80",0.8,2.22171857456541,-6.510374113156,-0.00178983894785681
"81",0.81,2.24942420929815,-6.59166726047505,-0.00181211200441739
"82",0.82,2.27712821992497,-6.67295826507697,-0.00183438258810387
"83",0.83,2.30483060651078,-6.75424712620861,-0.00185665071172816
"84",0.84,2.33253136911976,-6.83553384401434,-0.00187891637325407
"85",0.85,2.36023050781721,-6.91681841731547,-0.00190117957792735
"86",0.86,2.38792802266643,-6.99810084733244,-0.00192344031968886
"87",0.87,2.41562391373335,-7.07938113216129,-0.00194569859580676
"88",0.88,2.44331818066103,-7.16065975056499,-0.00196795315176529
"89",0.89,2.47101082433074,-7.24193576852402,-0.00199020645228429
"90",0.9,2.49870184440994,-7.32320964220919,-0.00201245729048441
"91",0.91,2.52639124096316,-7.40448137139128,-0.00203470566655409
"92",0.92,2.55407901405495,-7.48575095584327,-0.00205695158064154
"93",0.93,2.58176516374986,-7.56701839533589,-0.00207919503291878
"94",0.94,2.60944969011246,-7.64828368964301,-0.00210143602359178
"95",0.95,2.63713259320731,-7.72954683853658,-0.00212367455280588
"96",0.96,2.66481387309901,-7.81080784178755,-0.0021459106207376
"97",0.97,2.69249352985213,-7.89206669916798,-0.00216814422756179
"98",0.98,2.72017156353128,-7.97332341045232,-0.00219037537344957
"99",0.99,2.74784797420106,-8.05457797540994,-0.00221260405860194
"100",1,2.77552276192611,-8.13583039381442,-0.00223483028315111
"101",1.01,2.80319592677103,-8.21708066543852,-0.00225705404729859
"102",1.02,2.83086746880046,-8.2983287900539,-0.00227927535120778
"103",1.03,2.85853738807906,-8.37957476743216,-0.00230149419505671
"104",1.04,2.88620568467148,-8.46081859734734,-0.00232371057900824
"105",1.05,2.91387235864237,-8.5420602795698,-0.00234592450326737
"106",1.06,2.94153741005641,-8.62329981387232,-0.00236813596797522
"107",1.07,2.96920083897828,-8.70453720002766,-0.00239034497331256
"108",1.08,2.99686264547268,-8.78577243780884,-0.00241255151945968
"109",1.09,3.0245228296043,-8.86700552698613,-0.00243475560658205
"110",1.1,3.05218139143785,-8.94823646733339,-0.00245695723486883
"111",1.11,3.07983833103804,-9.02946525862264,-0.00247915640447466
"112",1.12,3.10749364846961,-9.11069190062669,-0.00250135311559699
"113",1.13,3.13514734379729,-9.19191639311632,-0.00252354736839644
"114",1.14,3.16279941708582,-9.27313873586645,-0.00254573916305015
"115",1.15,3.19044986839996,-9.3543589286478,-0.00256792849972126
"116",1.16,3.21809869780448,-9.43557697123299,-0.0025901153786137
"117",1.17,3.24574590536413,-9.51679286339461,-0.00261229979986211
"118",1.18,3.27339149114372,-9.59800660490529,-0.00263448176368095
"119",1.19,3.30103545520802,-9.67921819553681,-0.00265666127021494
"120",1.2,3.32867779762183,-9.76042763506349,-0.00267883831963295
"121",1.21,3.35631851844996,-9.84163492325558,-0.00270101291215549
"122",1.22,3.38395761775724,-9.9228400598852,-0.00272318504791594
"123",1.23,3.41159509560849,-10.0040430447282,-0.00274535472709486
"124",1.24,3.43923095206853,-10.0852438775538,-0.00276752194987123
"125",1.25,3.46686518720223,-10.1664425581365,-0.00278968671641991
"126",1.26,3.49449780107443,-10.2476390862489,-0.00281184902692574
"127",1.27,3.52212879374999,-10.3288334616615,-0.00283400888155141
"128",1.28,3.54975816529379,-10.4100256841482,-0.00285616628046856
"129",1.29,3.5773859157707,-10.4912157534822,-0.00287832122386752
"130",1.3,3.60501204524563,-10.5724036694359,-0.00290047371191704
"131",1.31,3.63263655378346,-10.6535894317813,-0.00292262374476865
"132",1.32,3.66025944144911,-10.7347730402907,-0.00294477132264151
"133",1.33,3.68788070830749,-10.8159544947373,-0.00296691644567451
"134",1.34,3.71550035442353,-10.8971337948951,-0.00298905911405617
"135",1.35,3.74311837986217,-10.9783109405342,-0.00301119932796687
"136",1.36,3.77073478468835,-11.0594859314298,-0.00303333708756973
"137",1.37,3.79834956896702,-11.1406587673528,-0.00305547239304454
"138",1.38,3.82596273276314,-11.221829448077,-0.00307760524457937
"139",1.39,3.8535742761417,-11.3029979733747,-0.00309973564233129
"140",1.4,3.88118419916766,-11.3841643430173,-0.00312186358648409
"141",1.41,3.90879250190603,-11.4653285567799,-0.00314398907721666
"142",1.42,3.93639918442179,-11.5464906144342,-0.00316611211468851
"143",1.43,3.96400424677996,-11.6276505157529,-0.00318823269909108
"144",1.44,3.99160768904555,-11.7088082605093,-0.00321035083060386
"145",1.45,4.01920951128359,-11.7899638484758,-0.0032324665093765
"146",1.46,4.04680971355912,-11.8711172794254,-0.00325457973562768
"147",1.47,4.07440829593718,-11.9522685531303,-0.00327669050947799
"148",1.48,4.10200525848282,-12.0334176693656,-0.00329879883113793
"149",1.49,4.12960060126111,-12.1145646279004,-0.00332090470079496
"150",1.5,4.15719432433711,-12.19570942851,-0.00334300811859012
"151",1.51,4.18478642777592,-12.2768520709673,-0.00336510908472434
"152",1.52,4.21237691164261,-12.3579925550452,-0.00338720759935826
"153",1.53,4.23996577600229,-12.4391308805162,-0.00340930366267811
"154",1.54,4.26755302092006,-12.5202670471535,-0.0034313972748686
"155",1.55,4.29513864646104,-12.6014010547301,-0.00345348843608126
"156",1.56,4.32272265269037,-12.6825329030184,-0.0034755771465089
"157",1.57,4.35030503967316,-12.7636625917912,-0.00349766340632351
"158",1.58,4.37788580747457,-12.8447901208229,-0.00351974721570447
"159",1.59,4.40546495615976,-12.9259154898856,-0.003541828574813
"160",1.6,4.43304248579387,-13.007038698752,-0.00356390748384805
"161",1.61,4.46061839644209,-13.0881597471956,-0.00358598394296844
"162",1.62,4.48819268816959,-13.169278634989,-0.00360805795236668
"163",1.63,4.51576536104156,-13.2503953619059,-0.00363012951220235
"164",1.64,4.54333641512321,-13.33150992772,-0.0036521986226441
"165",1.65,4.57090585047973,-13.412622332203,-0.00367426528390036
"166",1.66,4.59847366717636,-13.4937325751273,-0.00369632949613471
"167",1.67,4.6260398652783,-13.5748406562692,-0.00371839125950182
"168",1.68,4.6536044448508,-13.6559465753985,-0.00374045057419883
"169",1.69,4.68116740595909,-13.7370503322901,-0.00376250744040452
"170",1.7,4.70872874866845,-13.8181519267167,-0.0037845618582816
"171",1.71,4.73628847304411,-13.8992513584518,-0.00380661382803613
"172",1.72,4.76384657915136,-13.9803486272683,-0.00382866334979562
"173",1.73,4.79140306705548,-14.0614437329385,-0.00385071042377377
"174",1.74,4.81895793682175,-14.1425366752381,-0.0038727550501361
"175",1.75,4.84651118851547,-14.2236274539376,-0.00389479722906164
"176",1.76,4.87406282220195,-14.3047160688116,-0.00391683696072451
"177",1.77,4.90161283794651,-14.385802519634,-0.00393887424532371
"178",1.78,4.92916123581446,-14.4668868061763,-0.00396090908298827
"179",1.79,4.95670801587116,-14.5479689282126,-0.00398294147394204
"180",1.8,4.98425317818193,-14.6290488855167,-0.00400497141832987
"181",1.81,5.01179672281212,-14.7101266778623,-0.00402699891635114
"182",1.82,5.03933864982712,-14.7912023050208,-0.00404902396816964
"183",1.83,5.06687895929227,-14.8722757667668,-0.00407104657395935
"184",1.84,5.09441765127296,-14.953347062875,-0.00409306673391108
"185",1.85,5.12195472583459,-15.0344161931163,-0.00411508444819667
"186",1.86,5.14949018304254,-15.1154831572651,-0.00413709971698345
"187",1.87,5.17702402296222,-15.1965479550951,-0.00415911254046572
"188",1.88,5.20455624565906,-15.2776105863797,-0.00418112291880496
"189",1.89,5.23208685119847,-15.3586710508907,-0.00420313085219309
"190",1.9,5.25961583964588,-15.4397293484035,-0.00422513634080757
"191",1.91,5.28714321106675,-15.5207854786915,-0.00424713938481039
"192",1.92,5.31466896552651,-15.6018394415275,-0.00426913998437284
"193",1.93,5.34219310309065,-15.6828912366843,-0.00429113813969537
"194",1.94,5.36971562382461,-15.7639408639376,-0.00431313385095827
"195",1.95,5.39723652779388,-15.8449883230577,-0.00433512711831172
"196",1.96,5.42475581506395,-15.926033613821,-0.00435711794195914
"197",1.97,5.45227348570032,-16.0070767359998,-0.00437910632205776
"198",1.98,5.47978953976849,-16.0881176893679,-0.00440109225880428
"199",1.99,5.50730397733398,-16.1691564736987,-0.00442307575236109
"200",2,5.53481679846231,-16.2501930887661,-0.00444505680292093
"201",2.01,5.56232800321901,-16.3312275343425,-0.00446703541064367
"202",2.02,5.58983759166963,-16.4122598102035,-0.00448901157572953
"203",2.03,5.61734556387971,-16.4932899161212,-0.00451098529833419
"204",2.04,5.64485191991482,-16.5743178518694,-0.0045329565786574
"205",2.05,5.67235665984053,-16.6553436172222,-0.00455492541684577
"206",2.06,5.69985978372241,-16.7363672119532,-0.0045768918131065
"207",2.07,5.72736129162605,-16.8173886358362,-0.00459885576760705
"208",2.08,5.75486118361705,-16.8984078886446,-0.00462081728052555
"209",2.09,5.78235945976102,-16.9794249701517,-0.00464277635203961
"210",2.1,5.80985612012355,-17.0604398801322,-0.00466473298232084
"211",2.11,5.83735116477029,-17.1414526183596,-0.00468668717156054
"212",2.12,5.86484459376686,-17.2224631846065,-0.00470863891993864
"213",2.13,5.89233640717891,-17.3034715786481,-0.00473058822761385
"214",2.14,5.91982660507208,-17.3844778002578,-0.00475253509479159
"215",2.15,5.94731518751203,-17.4654818492078,-0.0047744795216226
"216",2.16,5.97480215456443,-17.5464837252753,-0.00479642150830162
"217",2.17,6.00228750629497,-17.6274834282308,-0.00481836105499578
"218",2.18,6.02977124276931,-17.7084809578501,-0.00484029816190495
"219",2.19,6.05725336405317,-17.7894763139063,-0.00486223282918294
"220",2.2,6.08473387021224,-17.8704694961732,-0.00488416505701181
"221",2.21,6.11221276131224,-17.9514605044246,-0.00490609484560833
"222",2.22,6.1396900374189,-18.0324493384354,-0.00492802219509508
"223",2.23,6.16716569859793,-18.1134359979779,-0.0049499471056911
"224",2.24,6.19463974491509,-18.1944204828263,-0.00497186957755458
"225",2.25,6.22211217643612,-18.2754027927567,-0.00499378961085908
"226",2.26,6.24958299322678,-18.3563829275401,-0.00501570720579167
"227",2.27,6.27705219535284,-18.4373608869531,-0.00503762236255453
"228",2.28,6.30451978288007,-18.5183366707669,-0.00505953508129381
"229",2.29,6.33198575587426,-18.599310278758,-0.00508144536220581
"230",2.3,6.35945011440121,-18.6802817106991,-0.00510335320545605
"231",2.31,6.38691285852671,-18.761250966364,-0.00512525861122931
"232",2.32,6.41437398831659,-18.842218045528,-0.00514716157972292
"233",2.33,6.44183350383666,-18.9231829479635,-0.00516906211108153
"234",2.34,6.46929140515275,-19.0041456734463,-0.00519096020551557
"235",2.35,6.4967476923307,-19.0851062217487,-0.00521285586318962
"236",2.36,6.52420236543637,-19.1660645926459,-0.00523474908428062
"237",2.37,6.5516554245356,-19.247020785912,-0.00525663986896621
"238",2.38,6.57910686969427,-19.3279748013199,-0.00527852821743552
"239",2.39,6.60655670097824,-19.4089266386461,-0.00530041412986901
"240",2.4,6.63400491845342,-19.4898762976631,-0.00532229760642774
"241",2.41,6.66145152218568,-19.5708237781444,-0.00534417864731429
"242",2.42,6.68889651224093,-19.6517690798663,-0.00536605725269629
"243",2.43,6.71633988868508,-19.7327122026008,-0.00538793342274263
"244",2.44,6.74378165158406,-19.8136531461241,-0.0054098071576571
"245",2.45,6.77122180100379,-19.8945919102088,-0.00543167845761136
"246",2.46,6.79866033701021,-19.9755284946297,-0.00545354732278133
"247",2.47,6.82609725966928,-20.056462899161,-0.00547541375334351
"248",2.48,6.85353256904693,-20.137395123577,-0.00549727774946582
"249",2.49,6.88096626520915,-20.2183251676519,-0.00551913931135156
"250",2.5,6.9083983482219,-20.2992530311602,-0.00554099843916564
"251",2.51,6.93582881815117,-20.3801787138763,-0.00556285513310265
"252",2.52,6.96325767506295,-20.4611022155743,-0.00558470939333328
"253",2.53,6.99068491902324,-20.5420235360285,-0.00560656122002348
"254",2.54,7.01811055009806,-20.6229426750138,-0.00562841061338279
"255",2.55,7.04553456835342,-20.7038596323031,-0.00565025757357507
"256",2.56,7.07295697385535,-20.7847744076724,-0.00567210210076727
"257",2.57,7.10037776666989,-20.8656870008954,-0.0056939441951547
"258",2.58,7.12779694686309,-20.9465974117459,-0.00571578385692972
"259",2.59,7.15521451450099,-21.0275056399997,-0.00573762108625406
"260",2.6,7.18263046964967,-21.1084116854303,-0.0057594558833059
"261",2.61,7.2100448123752,-21.1893155478123,-0.00578128824826313
"262",2.62,7.23745754274366,-21.2702172269201,-0.0058031181813164
"263",2.63,7.26486866082114,-21.3511167225286,-0.00582494568265562
"264",2.64,7.29227816667374,-21.4320140344116,-0.0058467707524458
"265",2.65,7.31968606036758,-21.5129091623442,-0.00586859339087001
"266",2.66,7.34709234196876,-21.5938021061001,-0.00589041359811066
"267",2.67,7.37449701154342,-21.6746928654551,-0.0059122313743433
"268",2.68,7.40190006915769,-21.7555814401835,-0.00593404671974959
"269",2.69,7.42930151487773,-21.8364678300594,-0.00595585963451856
"270",2.7,7.45670134876967,-21.9173520348564,-0.00597767011882155
"271",2.71,7.48409957089969,-21.9982340543507,-0.00599947817284602
"272",2.72,7.51149618133396,-22.0791138883158,-0.00602128379676151
"273",2.73,7.53889118013866,-22.1599915365275,-0.00604308699076644
"274",2.74,7.56628456737998,-22.2408669987595,-0.00606488775502451
"275",2.75,7.59367634312412,-22.3217402747869,-0.00608668608971791
"276",2.76,7.62106650743728,-22.4026113643844,-0.00610848199503788
"277",2.77,7.64845506038568,-22.4834802673261,-0.00613027547118106
"278",2.78,7.67584200203556,-22.564346983387,-0.00615206651828948
"279",2.79,7.70322733245314,-22.6452115123425,-0.00617385513655
"280",2.8,7.73061105170467,-22.7260738539655,-0.00619564132617106
"281",2.81,7.7579931598564,-22.8069340080328,-0.00621742508730425
"282",2.82,7.7853736569746,-22.8877919743188,-0.00623920642015571
"283",2.83,7.81275254312552,-22.9686477525973,-0.00626098532489591
"284",2.84,7.84012981837547,-23.0495013426424,-0.00628276180169632
"285",2.85,7.86750548279071,-23.1303527442319,-0.00630453585075583
"286",2.86,7.89487953643756,-23.2112019571377,-0.00632630747224075
"287",2.87,7.92225197938231,-23.2920489811355,-0.00634807666633685
"288",2.88,7.94962281169129,-23.3728938160007,-0.00636984343324651
"289",2.89,7.97699203343081,-23.4537364615089,-0.00639160777310321
"290",2.9,8.00435964466721,-23.5345769174327,-0.00641336968613501
"291",2.91,8.03172564546684,-23.6154151835481,-0.00643512917250469
"292",2.92,8.05909003589604,-23.6962512596304,-0.00645688623238302
"293",2.93,8.08645281602118,-23.7770851454544,-0.00647864086597119
"294",2.94,8.11381398590863,-23.8579168407946,-0.0065003930734398
"295",2.95,8.14117354562476,-23.9387463454259,-0.00652214285495784
"296",2.96,8.16853149523596,-24.0195736591239,-0.00654389021074731
"297",2.97,8.19588783480863,-24.1003987816622,-0.00656563514094879
"298",2.98,8.22324256440917,-24.1812217128175,-0.00658737764575937
"299",2.99,8.25059568410399,-24.262042452365,-0.00660911772535352
"300",3,8.27794719395953,-24.3428610000777,-0.00663085537993982
"301",3.01,8.30529709404221,-24.4236773557315,-0.00665259060966841
"302",3.02,8.33264538441847,-24.5044915191022,-0.00667432341473245
"303",3.03,8.35999206515476,-24.5853034899655,-0.00669605379532748
"304",3.04,8.38733713631756,-24.6661132680921,-0.00671778175160584
"305",3.05,8.41468059797331,-24.7469208532625,-0.00673950728377828
"306",3.06,8.44202245018849,-24.82772624525,-0.00676123039200063
"307",3.07,8.4693626930296,-24.9085294438279,-0.0067829510764838
"308",3.08,8.49670132656313,-24.9893304487743,-0.00680466933737917
"309",3.09,8.52403835085558,-25.070129259862,-0.00682638517489623
"310",3.1,8.55137376597347,-25.1509258768658,-0.0068480985891835
"311",3.11,8.57870757198331,-25.2317202995642,-0.006869809580453
"312",3.12,8.60603976895164,-25.3125125277287,-0.00689151814889921
"313",3.13,8.63337035694499,-25.3933025611379,-0.00691322429467364
"314",3.14,8.66069933602992,-25.474090399564,-0.00693492801797263
"315",3.15,8.68802670627298,-25.554876042783,-0.00695662931894805
"316",3.16,8.71535246774074,-25.6356594905713,-0.00697832819783695
"317",3.17,8.74267662049977,-25.7164407427036,-0.0070000246547888
"318",3.18,8.76999916461667,-25.7972197989547,-0.00702171868999107
"319",3.19,8.79732010015802,-25.8779966591002,-0.00704341030362096
"320",3.2,8.82463942719041,-25.9587713229156,-0.00706509949586978
"321",3.21,8.85195714578047,-26.0395437901763,-0.00708678626691275
"322",3.22,8.87927325599482,-26.1203140606574,-0.00710847061695216
"323",3.23,8.90658775790008,-26.2010821341355,-0.00713015254613603
"324",3.24,8.9339006515629,-26.2818480103822,-0.00715183205466716
"325",3.25,8.96121193704992,-26.3626116891774,-0.00717350914274165
"326",3.26,8.98852161442778,-26.4433731702935,-0.00719518381051609
"327",3.27,9.01582968376317,-26.5241324535081,-0.00721685605819186
"328",3.28,9.04313614512275,-26.6048895385945,-0.00723852588594875
"329",3.29,9.0704409985732,-26.6856444253296,-0.00726019329395877
"330",3.3,9.09774424418122,-26.7663971134888,-0.00728185828239838
"331",3.31,9.12504588201351,-26.8471476028463,-0.00730352085148253
"332",3.32,9.15234591213678,-26.9278958931798,-0.00732518100134988
"333",3.33,9.17964433461774,-27.0086419842626,-0.00734683873224545
"334",3.34,9.20694114952312,-27.0893858758715,-0.00736849404429121
"335",3.35,9.23423635691967,-27.170127567781,-0.00739014693772125
"336",3.36,9.26152995687411,-27.2508670597682,-0.00741179741266557
"337",3.37,9.28882194945321,-27.3316043516091,-0.00743344546934827
"338",3.38,9.31611233472374,-27.4123394430749,-0.00745509110793888
"339",3.39,9.34340111275245,-27.493072333946,-0.00747673432861479
"340",3.4,9.37068828360614,-27.5738030239969,-0.00749837513155521
"341",3.41,9.39797384735159,-27.6545315130021,-0.00752001351697618
"342",3.42,9.4252578040556,-27.7352578007383,-0.00754164948502714
"343",3.43,9.45254015378498,-27.8159818869806,-0.00756328303590953
"344",3.44,9.47982089660655,-27.8967037715029,-0.00758491416977161
"345",3.45,9.50710003258713,-27.9774234540848,-0.00760654288686641
"346",3.46,9.53437756179355,-28.0581409345006,-0.00762816918730821
"347",3.47,9.56165348429267,-28.1388562125223,-0.00764979307134989
"348",3.48,9.58892780015132,-28.2195692879322,-0.00767141453907583
"349",3.49,9.61620050943637,-28.3002801605008,-0.00769303359074969
"350",3.5,9.6434716122147,-28.3809888300057,-0.00771465022653089
"351",3.51,9.67074110855317,-28.4616952962235,-0.00773626444663608
"352",3.52,9.69800899851869,-28.542399558928,-0.00775787625118382
"353",3.53,9.72527528217814,-28.6231016178964,-0.00777948564041664
"354",3.54,9.75253995959844,-28.7038014729041,-0.00780109261447062
"355",3.55,9.77980303084648,-28.7844991237275,-0.00782269717357856
"356",3.56,9.80706449598922,-28.8651945701391,-0.00784429931788855
"357",3.57,9.83432435509355,-28.9458878119223,-0.0078658990476054
"358",3.58,9.86158260822645,-29.0265788488452,-0.00788749636286892
"359",3.59,9.88883925545483,-29.1072676806895,-0.00790909126394834
"360",3.6,9.91609429684569,-29.1879543072272,-0.00793068375094233
"361",3.61,9.94334773246598,-29.2686387282348,-0.00795227382408351
"362",3.62,9.97059956238268,-29.34932094349,-0.0079738614835182
"363",3.63,9.99784978666277,-29.4300009527669,-0.00799544672948108
"364",3.64,10.0250984053732,-29.5106787558447,-0.00801702956212183
"365",3.65,10.0523454185811,-29.5913543524938,-0.00803860998164416
"366",3.66,10.0795908263534,-29.6720277424971,-0.00806018798820843
"367",3.67,10.1068346287571,-29.7526989256226,-0.00808176358201582
"368",3.68,10.1340768258592,-29.8333679016537,-0.00810333676323713
"369",3.69,10.1613174177269,-29.9140346703617,-0.00812490753208184
"370",3.7,10.1885564044271,-29.9946992315265,-0.00814647588870052
"371",3.71,10.2157937860268,-30.0753615849209,-0.00816804183332076
"372",3.72,10.2430295625933,-30.1560217303238,-0.00818960536609026
"373",3.73,10.2702637341935,-30.2366796675064,-0.00821116648720824
"374",3.74,10.2974963008945,-30.3173353962506,-0.00823272519685664
"375",3.75,10.3247272627635,-30.3979889163313,-0.0082542814951983
"376",3.76,10.3519566198674,-30.478640227521,-0.00827583538246843
"377",3.77,10.3791843722735,-30.5592893295994,-0.00829738685884643
"378",3.78,10.4064105200488,-30.6399362223428,-0.008318935924441
"379",3.79,10.4336350632606,-30.7205809055233,-0.00834048257953077
"380",3.8,10.4608580019758,-30.8012233789226,-0.00836202682425002
"381",3.81,10.4880793362617,-30.881863642313,-0.00838356865879281
"382",3.82,10.5152990661854,-30.9625016954722,-0.0084051080833181
"383",3.83,10.5425171918141,-31.0431375381764,-0.00842664509810129
"384",3.84,10.5697337132149,-31.1237711702063,-0.00844817970317349
"385",3.85,10.5969486304551,-31.204402591327,-0.00846971189889745
"386",3.86,10.6241619436018,-31.285031801327,-0.00849124168532955
"387",3.87,10.6513736527222,-31.3656587999744,-0.00851276906274029
"388",3.88,10.6785837578835,-31.4462835870494,-0.00853429403121589
"389",3.89,10.705792259153,-31.5269061623278,-0.00855581659102453
"390",3.9,10.7329991565979,-31.6075265255852,-0.00857733674228001
"391",3.91,10.7602044502854,-31.6881446765974,-0.00859885448528677
"392",3.92,10.7874081402827,-31.7687606151431,-0.0086203698201025
"393",3.93,10.8146102266572,-31.8493743409964,-0.00864188274698366
"394",3.94,10.841810709476,-31.9299858539333,-0.00866339326608723
"395",3.95,10.8690095888064,-32.0105951537359,-0.00868490137767061
"396",3.96,10.8962068647158,-32.0912022401749,-0.00870640708177403
"397",3.97,10.9234025372714,-32.1718071130272,-0.00872791037868376
"398",3.98,10.9505966065404,-32.252409772072,-0.00874941126857842
"399",3.99,10.9777890725903,-32.3330102170824,-0.0087709097516509
"400",4,11.0049799354883,-32.4136084478393,-0.00879240582805274
"401",4.01,11.0321691953018,-32.4942044641132,-0.00881389949801117
"402",4.02,11.059356852098,-32.5747982656885,-0.00883539076164933
