"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",4.223,0.4935,0.6155,0.6815,NA
"Δ Consumer price (USD/kg)",2.18591096940775,0.397116062995018,0.74275400473539,1.26761508249088,NA
"Δ Consumer price (%)",0.295737068675454,0.0866176768370924,0.0822567753895911,0.0685994578829925,NA
"Δ Producer price (USD/kg)",-2.03708903059225,-0.0963839370049824,0.12725400473539,0.586115082490878,NA
"Δ Producer price (%)",-0.275602596340646,-0.0210229539566345,0.0140928275286432,0.0317187586920409,NA
"Δ Consumption (kg)",-4.48941723102594,-0.146567005456841,0.205429197707801,0.115861216464829,-4.31469382231015
"Δ Consumption (%)",-0.177480898649321,-0.00474803886077587,0.00930737050279518,0.0222904337344317,-0.0517140794255499
"Tax revenue (USD)",87.8628778227975,15.161499257469,13.7115537231031,3.62126011902078,120.35719092239
"Δ Emissions (kg CO2-eq.)",-379.176179332451,-1.44661634385903,2.52883342378306,1.57918838041563,-376.514773872111
"Δ Emissions (%)",-0.177480898649321,-0.0047480388607759,0.00930737050279527,0.0222904337344318,-0.135258962758907
"Δ Direct deaths",-0.0236727673578497,-0.136161629075996,0.00425213606780517,0.0697112569737439,-0.0858710033922968
"Δ Direct deaths (%)",-0.177480898649321,-0.00474803886077594,0.00930737050279527,0.0222904337344317,-0.00265074114346348
"Δ Total deaths",-0.0258052063933725,-0.15716713237078,0.171264766551779,0.689843561298677,0.678135989086303
"Δ Total deaths (%)",-0.177480898649321,-0.00474803886077588,0.00930737050279512,0.0222904337344316,0.00821029338980204
"Δ Direct time in agriculture (days)",-25.992698558919,-6.67191982472377,0.714358859391268,22.7343427308363,-9.21591679341529
"Δ Direct time in agriculture (%)",-0.177480898649321,-0.00474803886077591,0.00930737050279529,0.0222904337344317,-0.00347991703139547
"Δ Total time in agriculture (days)",-26.6884829527953,-6.79188816152214,0.915016244133682,24.9787421354279,-7.58661273475586
"Δ Total time in agriculture (%)",-0.177480898649321,-0.00474803886077584,0.00930737050279512,0.0222904337344317,-0.00270974626371459
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,0.55522016222648
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
