"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",1,1,1,1,NA
"Δ Consumer price (USD/kg)",0.59657351894695,0.345495140725235,0.650548845267741,1.01310986871713,NA
"Δ Consumer price (%)",0.0807118433513204,0.0753582875052315,0.0720454550281561,0.0548264127887615,NA
"Δ Producer price (USD/kg)",-0.40342648105305,-0.654504859274765,-0.349451154732259,0.0131098687171303,NA
"Δ Producer price (%)",-0.0545805234533445,-0.142758492218633,-0.0387001954364219,0.000709466066895596,NA
"Δ Consumption (kg)",-0.845891315408718,-1.04693605498925,-0.569229414383685,0.0026032184432534,-2.45945356633839
"Δ Consumption (%)",-0.0334407659374727,-0.0339154986372432,-0.0257900489310868,0.000500830821357766,-0.0294779611974824
"Tax revenue (USD)",24.4493222269593,29.8220205299388,21.5024392321053,5.20040321844325,80.9741852074466
"Δ Emissions (kg CO2-eq.)",-71.4439804994204,-10.3332588627438,-7.00721409106313,0.0354818673815487,-88.7489715858458
"Δ Emissions (%)",-0.0334407659374727,-0.0339154986372431,-0.0257900489310867,0.000500830821357835,-0.031882132324238
"Δ Direct deaths",-0.00446039815174851,-0.972609888162768,-0.0117823607878723,0.00156630178237016,-0.987286345320019
"Δ Direct deaths (%)",-0.0334407659374726,-0.0339154986372432,-0.0257900489310867,0.000500830821357793,-0.0304764173298834
"Δ Total deaths",-0.00486219009220826,-1.12265333541723,-0.474562252379993,0.0154996946909982,-1.58657808319843
"Δ Total deaths (%)",-0.0334407659374728,-0.0339154986372433,-0.0257900489310869,0.000500830821357817,-0.0192089370841975
"Δ Direct time in agriculture (days)",-4.89751717061989,-47.6578845199756,-1.97943661236253,0.510804755015783,-54.0240335479422
"Δ Direct time in agriculture (%)",-0.0334407659374728,-0.0339154986372432,-0.0257900489310867,0.000500830821357689,-0.0203993979831164
"Δ Total time in agriculture (days)",-5.02861614090702,-48.5148248447092,-2.53544367894885,0.561232862904944,-55.5176518016601
"Δ Total time in agriculture (%)",-0.0334407659374727,-0.0339154986372432,-0.0257900489310868,0.00050083082135768,-0.0198295016233746
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
