"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.5,2.5,2.5,2.5,NA
"Δ Consumer price (USD/kg)",1.56194235579598,0.94306631939074,1.6841149683693,2.58942150609538,NA
"Δ Consumer price (%)",0.211318878128092,0.205698588651545,0.18650840762919,0.140131585685818,NA
"Δ Producer price (USD/kg)",-0.938057644204023,-1.55693368060926,-0.815885031630705,0.089421506095384,NA
"Δ Producer price (%)",-0.126912038883571,-0.339593360658115,-0.0903557185322552,0.00483921888115291,NA
"Δ Consumption (kg)",-1.99716756570433,-2.73960569743373,-1.34124570677183,0.0177456177310837,-6.06027335217881
"Δ Consumption (%)",-0.0789543666970509,-0.0887495400078203,-0.060767752916823,0.00341406320579548,-0.0726358509738516
"Tax revenue (USD)",58.2451149416592,70.3233772187357,51.8260573492929,13.0388640443277,193.433413554015
"Δ Emissions (kg CO2-eq.)",-168.680772599388,-27.0399082336709,-16.5107346503613,0.241872769674671,-211.989542713745
"Δ Emissions (%)",-0.0789543666970508,-0.0887495400078202,-0.060767752916823,0.00341406320579548,-0.0761550081244236
"Δ Direct deaths",-0.0105310958471012,-2.54511016054221,-0.0277621648197515,0.0106771649353856,-2.57272625627368
"Δ Direct deaths (%)",-0.0789543666970509,-0.0887495400078203,-0.0607677529168229,0.00341406320579545,-0.0794171614278025
"Δ Total deaths",-0.0114797352491499,-2.93774147837864,-1.1181863893836,0.105658308332814,-3.96174929467858
"Δ Total deaths (%)",-0.0789543666970508,-0.0887495400078204,-0.0607677529168231,0.00341406320579547,-0.0479654885887687
"Δ Direct time in agriculture (days)",-11.5631432401171,-124.710397866568,-4.66404368971824,3.48205351004003,-137.455531286364
"Δ Direct time in agriculture (%)",-0.0789543666970509,-0.0887495400078204,-0.0607677529168229,0.00341406320579551,-0.0519030124843029
"Δ Total time in agriculture (days)",-11.8726707250141,-126.952825744386,-5.97413426506408,3.82581180194302,-140.973818932522
"Δ Total time in agriculture (%)",-0.078954366697051,-0.0887495400078203,-0.0607677529168231,0.00341406320579548,-0.0503522840152286
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
