"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0052730156587473,0.929006010947592,0.0206987911905945,0.60167896644608,NA
"Δ Consumer price (USD/kg)",0.0773511624054315,0.215398754537453,0.0902061828716505,0.415657840542085,NA
"Δ Consumer price (%)",0.0104650218369228,0.0469820826962404,0.00998994239804761,0.0224941332111419,NA
"Δ Producer price (USD/kg)",0.0720781467466844,-0.713607256410139,0.0695073916810554,-0.186021125903995,NA
"Δ Producer price (%)",0.0097516230682529,-0.155649716755761,0.00769764130381467,-0.010066895359688,NA
"Δ Consumption (kg)",0.149195778063326,-1.14798350708589,0.112327842740378,-0.0369968570407169,-0.923456743322899
"Δ Consumption (%)",0.00589818219219348,-0.0371889313436139,0.00508923201682107,-0.00711779157349588,-0.0110681585616406
"Tax revenue (USD)",0.13416876877421,27.6109626405269,0.45918191110344,3.10514670108742,31.309460021492
"Δ Emissions (kg CO2-eq.)",12.6010754152285,-11.3305972149377,1.38275574413404,-0.504267161464966,2.14896678295985
"Δ Emissions (%)",0.00589818219219345,-0.037188931343614,0.00508923201682106,-0.00711779157349581,0.00077199365931182
"Δ Direct deaths",0.000786711673946894,-1.06648357855149,0.00232505056177301,-0.0222602307060118,-1.08563204702178
"Δ Direct deaths (%)",0.00589818219219339,-0.037188931343614,0.00508923201682107,-0.00711779157349584,-0.0335122383577651
"Δ Total deaths",0.000857578533653924,-1.23100881576494,0.0936468719094137,-0.220281163935248,-1.35678552925712
"Δ Total deaths (%)",0.00589818219219342,-0.037188931343614,0.00508923201682112,-0.00711779157349588,-0.0164268044190487
"Δ Direct time in agriculture (days)",0.863809417993707,-52.2576953490229,0.390608494377872,-7.25954079882058,-58.2628182354719
"Δ Direct time in agriculture (%)",0.0058981821921935,-0.037188931343614,0.00508923201682116,-0.00711779157349587,-0.0219999570329868
"Δ Total time in agriculture (days)",0.886932261932373,-53.1973452489979,0.500327129360329,-7.97622345111404,-59.7863093088192
"Δ Total time in agriculture (%)",0.00589818219219333,-0.0371889313436139,0.00508923201682106,-0.00711779157349597,-0.0213541581645093
"SCAU threshold (direct deaths)",NA,NA,NA,NA,0.00197946144723262
"SCAU threshold (total deaths)",NA,NA,NA,NA,0.00158386623133905
"SCAU threshold (direct time)",NA,NA,NA,NA,0.0000368840170805795
"SCAU threshold (total time)",NA,NA,NA,NA,0.0000359441284769663
