"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0131825391468682,2.32251502736898,0.0517469779764863,1.5041974161152,NA
"Δ Consumer price (USD/kg)",0.211061907615059,0.613869543589099,0.241567318056356,1.08819966172898,NA
"Δ Consumer price (%)",0.0285550650235489,0.133895248018213,0.0267525297691348,0.0588900431165399,NA
"Δ Producer price (USD/kg)",0.197879368468191,-1.70864548377988,0.189820340079869,-0.415997754386218,NA
"Δ Producer price (%)",0.026771568101874,-0.372684250611792,0.0210217770335525,-0.0225125283105349,NA
"Δ Consumption (kg)",0.40824083803486,-3.06165437924605,0.306077402515907,-0.0828891117738477,-2.43022525046913
"Δ Consumption (%)",0.0161390548196433,-0.0991823086349776,0.0138674337413359,-0.0159469605936834,-0.0291276430728168
"Tax revenue (USD)",0.338836793579403,64.5828772432869,1.15798073196126,7.69383574172928,73.7735305105568
"Δ Emissions (kg CO2-eq.)",34.4800211804245,-30.2185287231586,3.7678128249708,-1.12977859347754,6.89952668875921
"Δ Emissions (%)",0.0161390548196434,-0.0991823086349777,0.0138674337413358,-0.0159469605936834,0.00247858221830612
"Δ Direct deaths",0.00215266033149794,-2.8442953217636,0.00633543224283634,-0.0498726351017225,-2.88567986429099
"Δ Direct deaths (%)",0.0161390548196433,-0.0991823086349776,0.013867433741336,-0.0159469605936835,-0.0890776867739084
"Δ Total deaths",0.00234657162423851,-3.28308160214297,0.255174412759104,-0.493525977058191,-3.51908659481782
"Δ Total deaths (%)",0.0161390548196433,-0.0991823086349777,0.0138674337413358,-0.0159469605936834,-0.0426061053720254
"Δ Direct time in agriculture (days)",2.36362104398472,-139.370470766416,1.0643526167965,-16.2645407429611,-152.207037848596
"Δ Direct time in agriculture (%)",0.0161390548196432,-0.0991823086349776,0.0138674337413359,-0.0159469605936834,-0.0574731603139071
"Δ Total time in agriculture (days)",2.42689152864466,-141.876502615707,1.36332029910695,-17.8702227717599,-155.956513559715
"Δ Total time in agriculture (%)",0.0161390548196433,-0.0991823086349777,0.0138674337413358,-0.0159469605936834,-0.0557037237427924
"SCAU threshold (direct deaths)",NA,NA,NA,NA,0.00239095360997517
"SCAU threshold (total deaths)",NA,NA,NA,NA,0.00196060156601983
"SCAU threshold (direct time)",NA,NA,NA,NA,0.0000453298795264797
"SCAU threshold (total time)",NA,NA,NA,NA,0.0000442400675116235
