"","TR","CarbonTaxLevel","SlaughterTaxLevel","SCAUThreshold"
"1",0,0.01,0.001,0.0815791326247781
"3",20,7.34,0.631,0.0917636589569561
"5",40,15.02,1.291,0.0884936354583014
"7",60,23.06,1.99,0.0847657443010791
"9",80,31.5,2.74,0.0806616946489185
"11",100,40.4,3.56,0.0761794106446428
"13",120,49.8,4.48,0.0712792271349514
"15",140,59.8,5.55,0.06607013836238
"17",160,70.4,6.91,0.0602744595079519
"19",180,81.6,8.76,0.054815300379361
"21",200,93.5,11.38,0.0512128234150958
"23",220,106.3,14.68,0.0505778350400669
"25",240,119.8,18.41,0.0518500905078431
