"","TR","ClosestCarbonTaxRevenue","CarbonTaxLevel","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD","ClosestSlaughterTaxRevenue","SlaughterTaxLevel","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD","SCAUThreshold"
"1",1,1.00109273559055,0.36,-2.84543790171708,-0.0017429878446909,1.00331450400728,0.031,-0.0649138403898206,-0.0301080682789772,0.0980263062454176
"2",11,11.0088590798871,4,-31.4438223481429,-0.0192816087962569,10.9961700824114,0.343,-0.710101258839018,-0.336287163524308,0.0969501027061478
"3",21,20.99738035911,7.71,-60.2629556000815,-0.0370033661658554,21.0117388621303,0.662,-1.35279832717829,-0.655305267712655,0.0952773347866605
"4",31,31.0106086960448,11.51,-89.4267334107269,-0.0550014042818403,31.000223726514,0.987,-1.98726675149177,-0.986557391194592,0.0938638878260192
"5",41,41.0117993142036,15.39,-118.824328888888,-0.0732264998172257,41.0026495246992,1.32,-2.61294985221423,-1.33247879222647,0.0922860174543211
"6",51,50.9918288649771,19.35,-148.421958470973,-0.0916786295434589,50.9953732890727,1.661,-3.22440434383945,-1.69348262295524,0.0906462680354971
"7",61,60.9907164077138,23.41,-178.331108009205,-0.110451210172274,61.0098676162402,2.012,-3.81856102704296,-2.07209623539234,0.088962347794084
"8",71,70.9968650331274,27.57,-208.509334680189,-0.129544943304783,70.9880365632976,2.372,-4.38581311763244,-2.46758930152486,0.087305239032314
"9",81,80.9296624913195,31.8,-238.700652341319,-0.148825960542351,81.0061311856739,2.745,-4.92264844014036,-2.88466176407878,0.0854503050215917
"10",91,91.0101206925769,36.2,-269.566860480778,-0.168752537588231,90.997516948887,3.13,-5.41559172078225,-3.32240294746358,0.0837604789461864
"11",101,101.062190667688,40.7,-300.558084514314,-0.189010972819707,100.99635968582,3.53,-5.85403492030066,-3.78422530199243,0.0819712046657942
"12",111,111.076994803295,45.3,-331.627801960203,-0.209609733706781,111.071437364162,3.95,-6.22441482990803,-4.2757408370802,0.0800277656714826
"13",121,121.046464883378,50,-362.72929465237,-0.230559313171156,120.934409652506,4.38,-6.49820248043697,-4.78449625743936,0.0782248626916765
"14",131,130.963376279196,54.8,-393.81595948788,-0.251872230309429,130.980876268833,4.84,-6.66203648750003,-5.33292755015976,0.0761955732872801
"15",141,141.019836894465,59.8,-425.467339904122,-0.274005113394959,140.915725037239,5.32,-6.67953222986932,-5.90717382843114,0.0743432034187818
"16",151,151.001301382801,64.9,-456.982145743633,-0.29653075859015,151.06374280693,5.84,-6.51056139058055,-6.52801282075183,0.0722896383010346
"17",161,161.091355343501,70.2,-488.909940703094,-0.319909670999501,160.954761867258,6.38,-6.11971443128775,-7.16707296706258,0.0705095242214241
"18",171,171.088679223983,75.6,-520.580824806923,-0.343722332094268,171.055066312812,6.97,-5.43786131774732,-7.8534756678234,0.0685965224767478
"19",181,180.991345900444,81.1,-551.952724250325,-0.367992951722314,180.940682821622,7.59,-4.43869990296314,-8.5557399181024,0.0668699248517966
"20",191,190.970998989335,86.8,-583.531875852933,-0.393189720790344,191.017563923651,8.27,-3.02603525512266,-9.29744225912421,0.0651942246806976
"21",201,201.013196897117,92.7,-615.231441326208,-0.41934378491276,201.061812613733,9,-1.17260597615892,-10.0548906669878,0.0637284881559113
"22",211,210.942007898955,98.7,-646.454864873566,-0.446043977758896,211.046125830344,9.78,1.14412334601407,-10.8157335991534,0.0624511448137724
"23",221,221.077207011433,105,-678.161382687227,-0.47421816243849,220.969234181249,10.61,3.92666722308394,-11.5685855481321,0.0614805717349759
"24",231,230.932997930222,111.3,-708.78888944281,-0.502560824949407,230.956860987887,11.5,7.19737580337114,-12.3118867652193,0.0606288850750292
"25",241,240.977056763675,117.9,-739.748017564403,-0.53245985084051,241.01809646856,12.45,10.9329395068189,-13.036208818027,0.0600364705850406
