"","SlaughterTaxLevel","SlaughterTaxRevenue","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD"
"1",0.001,0.0323941217217899,-0.00209615485663051,-0.000970346723812937
"2",0.002,0.0647863026326545,-0.00419216636377939,-0.00194075218650014
"3",0.003,0.0971765425563707,-0.00628803445273718,-0.00291121639015166
"4",0.004,0.129564841316709,-0.00838375905139799,-0.00388173933656979
"5",0.005,0.161951198737431,-0.0104793401022647,-0.0048523210275099
"6",0.006,0.194335614642291,-0.0125747775295935,-0.0058229614652173
"7",0.007,0.22671808885504,-0.0146700712504781,-0.00679366065081885
"8",0.008,0.259098621199422,-0.0167652212358149,-0.00776441858598839
"9",0.009,0.29147721149917,-0.0188602273771608,-0.00873523527263531
"10",0.01,0.323853859578026,-0.0209550896471029,-0.00970611071113678
"11",0.011,0.3562285652597,-0.0230498079306471,-0.0106770449046549
"12",0.012,0.388601328367943,-0.0251443821956201,-0.0116480378518333
"13",0.013,0.420972148726438,-0.0272388123735254,-0.0126190895569403
"14",0.014,0.45334102615895,-0.0293330983306532,-0.0135902000172919
"15",0.015,0.485707960489161,-0.0314272401337377,-0.0145613692363386
"16",0.016,0.518072951540786,-0.033521237662228,-0.0155325972146196
"17",0.017,0.55043599913756,-0.0356150908020965,-0.0165038839513669
"18",0.018,0.582797103103141,-0.0377087995383363,-0.0174752294503502
"19",0.019,0.615156263261266,-0.0398023636997067,-0.0184466337102684
"20",0.02,0.647513479435665,-0.0418957834167344,-0.01941809673051
"21",0.021,0.679868751449992,-0.0439890583765532,-0.0203896185140925
"22",0.022,0.712222079128023,-0.0460821887716634,-0.0213611990581436
"23",0.023,0.744573462293408,-0.048175174432842,-0.0223328383655657
"24",0.024,0.776922900769782,-0.0502680152914223,-0.0233045364394904
"25",0.025,0.809270394381095,-0.0523607109870596,-0.0242762932699413
"26",0.026,0.841615942950765,-0.0544532620745031,-0.0252481088689195
"27",0.027,0.873959546302776,-0.056545668117252,-0.0262199832257446
"28",0.028,0.90630120426072,-0.0586379291539316,-0.0271919163451778
"29",0.029,0.938640916648223,-0.0607300445066272,-0.0281639082301639
"30",0.03,0.970978683289313,-0.0628220151898091,-0.029135958869955
"31",0.031,1.00331450400728,-0.0649138403898206,-0.0301080682789772
"32",0.032,1.03564837862622,-0.0670055204129909,-0.0310802364444605
"33",0.033,1.06798030696968,-0.069097055316135,-0.0320524633718835
"34",0.034,1.10031028886136,-0.0711884441926571,-0.0330247490620721
"35",0.035,1.13263832412528,-0.0732796878674975,-0.0339970935056034
"36",0.036,1.16496441258491,-0.0753707860763058,-0.0349694967106235
"37",0.037,1.19728855381188,-0.0774617215538171,-0.0359419654899606
"38",0.038,1.22961074809864,-0.0795525263787908,-0.0369144869706732
"39",0.039,1.26193099504856,-0.0816431852892663,-0.0378870672685009
"40",0.04,1.29424929448513,-0.0837336982150134,-0.0388597063854872
"41",0.041,1.32656564623179,-0.0858240650861575,-0.0398324043236963
"42",0.042,1.358880050112,-0.0879142858320279,-0.0408051610852009
"43",0.043,1.39119250594919,-0.0900043603838725,-0.0417779766720532
"44",0.044,1.42350301356681,-0.0920942886716745,-0.0427508510863344
"45",0.045,1.45581157278826,-0.0941840706252037,-0.0437237843300759
"46",0.046,1.48811818343699,-0.0962737061747276,-0.0446967764053572
"47",0.047,1.52042284533638,-0.0983631952511104,-0.0456698273142084
"48",0.048,1.55272555830984,-0.100452537783269,-0.046642937058698
"49",0.049,1.58502632218077,-0.102541733701344,-0.0476161056408655
"50",0.05,1.61732513677255,-0.104630782935899,-0.0485893330627568
"51",0.051,1.64962200190855,-0.10671968541763,-0.0495626193264271
"52",0.052,1.68191691741215,-0.108808441075141,-0.0505359644338921
"53",0.053,1.71420988310671,-0.110897049839039,-0.0515093683872131
