"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",4.223,0.4935,0.6155,0.6815,NA
"Δ Consumer price (USD/kg)",2.28164533008367,0.317673753608183,0.572640738478789,1.04636888148681,NA
"Δ Consumer price (%)",0.30868919691583,0.0692899761398092,0.0634174710653498,0.05662628901084,NA
"Δ Producer price (USD/kg)",-1.94135466991633,-0.175826246391817,-0.0428592615212118,0.364868881486807,NA
"Δ Producer price (%)",-0.26265046810027,-0.0383506546539178,-0.00474647679559806,0.0197455898198883,NA
"Δ Consumption (kg)",-4.2647698261576,-0.269219164029849,-0.0694086327815668,0.0722507911531034,-4.53114683181591
"Δ Consumption (%)",-0.16859987439973,-0.00872135613943288,-0.00314469349342139,0.0139002637948946,-0.0543083928546049
"Tax revenue (USD)",88.8115638135565,15.1009704172132,13.5423910384369,3.59153961417084,121.046464883378
"Δ Emissions (kg CO2-eq.)",-360.202459517271,-2.65719314897461,-0.854420269541095,0.984778283416802,-362.72929465237
"Δ Emissions (%)",-0.16859987439973,-0.0087213561394329,-0.00314469349342141,0.0139002637948947,-0.130306674695358
"Δ Direct deaths",-0.022488198074282,-0.250106221646014,-0.00143667479677029,0.0434717813459109,-0.230559313171156
"Δ Direct deaths (%)",-0.16859987439973,-0.00872135613943284,-0.00314469349342135,0.0139002637948947,-0.00711710627904795
"Δ Total deaths",-0.0245139313012959,-0.288689830688327,-0.0578654515650783,0.430184876324287,0.0591156627695856
"Δ Total deaths (%)",-0.16859987439973,-0.00872135613943299,-0.00314469349342148,0.0139002637948946,0.000715722131080005
"Δ Direct time in agriculture (days)",-24.6920414855617,-12.2552048606549,-0.241361365857415,14.1770844357338,-23.0115232763402
"Δ Direct time in agriculture (%)",-0.16859987439973,-0.00872135613943298,-0.00314469349342144,0.0139002637948946,-0.00868911835498611
"Δ Total time in agriculture (days)",-25.3530092984902,-12.4755667029553,-0.309157739926434,15.5766868013325,-22.5610469400395
"Δ Total time in agriculture (%)",-0.16859987439973,-0.00872135613943295,-0.00314469349342142,0.0139002637948947,-0.00805823557741263
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,6.13592536492698
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
