"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.5,2.5,2.5,2.5,NA
"Δ Consumer price (USD/kg)",1.48347321773073,0.99133863784687,1.61728227907095,2.59998797753291,NA
"Δ Consumer price (%)",0.200702602718123,0.216227591303001,0.179106977980548,0.140703410857641,NA
"Δ Producer price (USD/kg)",-1.01652678226927,-1.50866136215313,-0.882717720929049,0.099987977532912,NA
"Δ Producer price (%)",-0.13752831429354,-0.329064358006659,-0.0977571481808974,0.00541104405297573,NA
"Δ Consumption (kg)",-2.16925583845874,-2.63976355868435,-1.45306304015367,0.0198408628185085,-6.24224157447824
"Δ Consumption (%)",-0.0857575617942643,-0.0855151534332466,-0.0658338553113794,0.00381716549665406,-0.0748168444553033
"Tax revenue (USD)",57.8148942597732,70.5729825656091,51.5465140158383,13.0441021570463,192.978492998267
"Δ Emissions (kg CO2-eq.)",-183.215348116225,-26.0544663242145,-17.8872060242916,0.270430960216274,-226.886589504515
"Δ Emissions (%)",-0.0857575617942643,-0.0855151534332466,-0.0658338553113794,0.00381716549665411,-0.0815066151181369
"Δ Direct deaths",-0.0114385200040219,-2.45235621349817,-0.0300766484549111,0.0119378298340385,-2.48193355212306
"Δ Direct deaths (%)",-0.0857575617942643,-0.0855151534332467,-0.0658338553113794,0.003817165496654,-0.0766144929260863
"Δ Total deaths",-0.0124689000266218,-2.83067848293778,-1.21140765350654,0.118133503890089,-3.93642153258085
"Δ Total deaths (%)",-0.0857575617942643,-0.0855151534332467,-0.0658338553113793,0.00381716549665404,-0.0476588416019163
"Δ Direct time in agriculture (days)",-12.5594949644161,-120.16545446141,-5.05287694042507,3.89318349275572,-133.884642873495
"Δ Direct time in agriculture (%)",-0.0857575617942643,-0.0855151534332466,-0.0658338553113794,0.003817165496654,-0.050554650114752
"Δ Total time in agriculture (days)",-12.8956932460758,-122.326159339629,-6.47218749976355,4.27752971364976,-137.416510371819
"Δ Total time in agriculture (%)",-0.0857575617942644,-0.0855151534332467,-0.0658338553113793,0.00381716549665398,-0.0490817033334068
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
