"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",5,5,5,5,NA
"Δ Consumer price (USD/kg)",3.17533889470022,2.33490744388413,3.39747468700154,5.32526242857267,NA
"Δ Consumer price (%)",0.429599114470901,0.509282492613285,0.376255544148924,0.288186943127022,NA
"Δ Producer price (USD/kg)",-1.82466110529978,-2.66509255611587,-1.60252531299846,0.325262428572675,NA
"Δ Producer price (%)",-0.246862719552424,-0.581301406006036,-0.177472708173966,0.0176022095176922,NA
"Δ Consumption (kg)",-3.99303195571449,-5.46929756009105,-2.67778983588109,0.0644280098531045,-12.0756913418335
"Δ Consumption (%)",-0.157857214726667,-0.177177921289425,-0.121322491686964,0.0123952460373821,-0.144734084708621
"Tax revenue (USD)",106.510907933268,126.998295124185,96.9693940530396,26.3111400492655,356.789737159757
"Δ Emissions (kg CO2-eq.)",-337.251478979645,-53.9819669180987,-32.9635928796962,0.878153774297814,-423.318885003142
"Δ Emissions (%)",-0.157857214726667,-0.177177921289425,-0.121322491686964,0.0123952460373821,-0.152072846207173
"Δ Direct deaths",-0.0210553200283608,-5.08101030898559,-0.0554270126651989,0.0387649783785937,-5.11872766330055
"Δ Direct deaths (%)",-0.157857214726667,-0.177177921289425,-0.121322491686964,0.012395246037382,-0.158009356864143
"Δ Total deaths",-0.0229519798339164,-5.86485212632072,-2.23245310907179,0.383607639558523,-7.7366495756679
"Δ Total deaths (%)",-0.157857214726667,-0.177177921289425,-0.121322491686964,0.0123952460373821,-0.0936687683482274
"Δ Direct time in agriculture (days)",-23.1187413911402,-248.969505140294,-9.3117381277534,12.6420945865937,-268.757890072594
"Δ Direct time in agriculture (%)",-0.157857214726667,-0.177177921289425,-0.121322491686964,0.0123952460373821,-0.101482595812254
"Δ Total time in agriculture (days)",-23.7375943905529,-253.446246202819,-11.9273269113986,13.8901583594889,-275.221009145282
"Δ Total time in agriculture (%)",-0.157857214726667,-0.177177921289425,-0.121322491686964,0.012395246037382,-0.0983019863147378
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
