"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0131825391468682,2.32251502736898,0.0517469779764863,1.5041974161152,NA
"Δ Consumer price (USD/kg)",0.135322461665264,0.745656537133292,0.165347132598452,1.24281791655768,NA
"Δ Consumer price (%)",0.0183080961205271,0.162640202659562,0.0183114757520684,0.0672575109753326,NA
"Δ Producer price (USD/kg)",0.122139922518396,-1.57685849023569,0.113600154621965,-0.261379499557517,NA
"Δ Producer price (%)",0.0165245991988521,-0.343939295970443,0.0125807230164861,-0.0141450604517421,NA
"Δ Consumption (kg)",0.252485596483421,-2.78117678494923,0.183433881992727,-0.0520159720007669,-2.39727327847385
"Δ Consumption (%)",0.0099815562363418,-0.0900962355918167,0.00831082982128341,-0.0100073053985853,-0.0287326947944057
"Tax revenue (USD)",0.336783544010321,65.2342906708816,1.15163430040579,7.74027503880331,74.462983554101
"Δ Emissions (kg CO2-eq.)",21.3249334789898,-27.4502148674489,2.25807108733045,-0.708977698370447,-4.57618799949914
"Δ Emissions (%)",0.00998155623634184,-0.0900962355918167,0.00831082982128334,-0.0100073053985853,-0.00164394729013277
"Δ Direct deaths",0.00133136050386523,-2.58372995072574,0.00379685962064763,-0.0312969162721095,-2.60989864687334
"Δ Direct deaths (%)",0.0099815562363418,-0.0900962355918168,0.00831082982128347,-0.0100073053985853,-0.0805646312519672
"Δ Total deaths",0.00145128924163715,-2.98231910070217,0.15292743839586,-0.309705736434367,-3.13764610949904
"Δ Total deaths (%)",0.00998155623634173,-0.0900962355918168,0.00831082982128327,-0.0100073053985854,-0.0379879486223222
"Δ Direct time in agriculture (days)",1.46183383324401,-126.602767585561,0.637872416268806,-10.2065986446983,-134.709659980747
"Δ Direct time in agriculture (%)",0.00998155623634173,-0.0900962355918168,0.00831082982128353,-0.0100073053985853,-0.0508661753972684
"Δ Total time in agriculture (days)",1.50096486711132,-128.879222318282,0.817045403577865,-11.2142232851941,-137.775435332786
"Δ Total time in agriculture (%)",0.00998155623634181,-0.0900962355918167,0.00831082982128342,-0.0100073053985854,-0.0492099022551047
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
