"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0263650782937365,4.64503005473796,0.103493955952973,3.0083948322304,NA
"Δ Consumer price (USD/kg)",0.300756676169361,1.83705282103122,0.355822338297029,2.59696805091375,NA
"Δ Consumer price (%)",0.040690082551257,0.400692045505971,0.0394057763045316,0.140539981649687,NA
"Δ Producer price (USD/kg)",0.274391597875625,-2.80797723370674,0.252328382344057,-0.411426781316653,NA
"Δ Producer price (%)",0.0371230887079072,-0.612466951754038,0.0279442708333674,-0.0222651612044621,NA
"Δ Consumption (kg)",0.564964675811193,-5.90559262255382,0.406401553931389,-0.081975298710379,-5.01620169152162
"Δ Consumption (%)",0.0223348450830396,-0.191311701978203,0.0184128151088403,-0.0157711529320826,-0.0601220534696099
"Tax revenue (USD)",0.681805623412274,115.955575872591,2.32634440723013,15.3904205939563,134.354146497189
"Δ Emissions (kg CO2-eq.)",47.7169165190135,-58.2881991846062,5.00280312889538,-1.11732332142246,-6.68580285811983
"Δ Emissions (%)",0.0223348450830396,-0.191311701978203,0.0184128151088402,-0.0157711529320825,-0.00240180418552975
"Δ Direct deaths",0.00297906758219152,-5.48633104456026,0.00841202090435894,-0.0493228130021697,-5.52426276907588
"Δ Direct deaths (%)",0.0223348450830396,-0.191311701978203,0.0184128151088403,-0.0157711529320827,-0.1705277687556
"Δ Total deaths",0.00324742150573984,-6.33270124161833,0.338813898106835,-0.488085087714033,-6.47872500971979
"Δ Total deaths (%)",0.0223348450830396,-0.191311701978203,0.0184128151088402,-0.0157711529320826,-0.0784388883317002
"Δ Direct time in agriculture (days)",3.27101620524627,-268.830221183453,1.4132195119323,-16.0852319111475,-280.231217377421
"Δ Direct time in agriculture (%)",0.0223348450830394,-0.191311701978203,0.0184128151088402,-0.0157711529320826,-0.105814907831756
"Δ Total time in agriculture (days)",3.3585762568726,-273.664079407743,1.81018096569372,-17.6732120586946,-286.168534243871
"Δ Total time in agriculture (%)",0.0223348450830394,-0.191311701978203,0.0184128151088402,-0.0157711529320827,-0.102212165504051
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
