"","TR","CarbonTaxLevel","SlaughterTaxLevel","SCAUThreshold"
"1",0,0.01,0.001,0.0835056960118754
"3",20,7.34,0.629,0.0956352416049252
"5",40,14.99,1.286,0.0924202566642724
"7",60,23,1.976,0.0891568381617033
"9",80,31.4,2.707,0.085718259018502
"11",100,40.2,3.49,0.0820420455871771
"13",120,49.5,4.34,0.0782883169856709
"15",140,59.3,5.27,0.0745487103832369
"17",160,69.6,6.33,0.070559906158085
"19",180,80.5,7.53,0.0669698861109876
"21",200,92.1,8.92,0.0638948323034337
"23",220,104.3,10.53,0.0615134278806346
"25",240,117.2,12.35,0.0600816664495559
