"","CarbonTaxLevel","CarbonTaxRevenue","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD"
"1",0.01,0.0271272373186623,-0.0886574813942218,-0.0000795063717390632
"2",0.02,0.0542526977438063,-0.17731318178005,-0.000159012098640887
"3",0.03,0.081376381328774,-0.265967100881682,-0.000238517180715103
"4",0.04,0.108498288126918,-0.354619238426281,-0.000318021618014197
"5",0.05,0.135618418191603,-0.443269594134819,-0.000397525410537058
"6",0.06,0.162736771576202,-0.531918167737075,-0.00047702855839174
"7",0.07,0.189853348334103,-0.620564958954915,-0.0005565310615466
"8",0.08,0.216968148518702,-0.709209967508485,-0.000636032920065116
"9",0.09,0.244081172183407,-0.797853193127381,-0.000715534133989004
"10",0.1,0.271192419381638,-0.886494635531633,-0.000795034703241326
"11",0.11,0.298301890166824,-0.975134294453341,-0.000874534628035745
"12",0.12,0.325409584592407,-1.06377216959622,-0.000954033908266483
"13",0.13,0.352515502711839,-1.15240826071222,-0.00103353254400282
"14",0.14,0.379619644578583,-1.24104256750657,-0.00111303053537765
"15",0.15,0.406722010246118,-1.32967508967744,-0.00119252788237531
"16",0.16,0.433822599767923,-1.41830582699738,-0.00127202458467152
"17",0.17,0.460921413197501,-1.50693477914889,-0.00135152064319327
"18",0.18,0.488018450588357,-1.59556194586858,-0.00143101605721824
"19",0.19,0.515113711994011,-1.6841873268845,-0.00151051082668779
"20",0.2,0.54220719746799,-1.77281092192661,-0.00159000495224618
"21",0.21,0.569298907063842,-1.86143273068915,-0.00166949843361081
"22",0.22,0.596388840835123,-1.95005275287463,-0.00174899127047501
"23",0.23,0.623476998835379,-2.03867098829393,-0.00182848346351849
"24",0.24,0.650563381118213,-2.12728743654382,-0.00190797501238812
"25",0.25,0.677647987737201,-2.21590209739155,-0.00198746591799265
"26",0.26,0.704730818745922,-2.30451497063319,-0.00206695617850325
"27",0.27,0.731811874198014,-2.39312605587509,-0.00214644579533194
"28",0.28,0.758891154147085,-2.4817353528929,-0.00222593476857011
"29",0.29,0.785968658646744,-2.57034286147912,-0.00230542309722187
"30",0.3,0.813044387750679,-2.65894858119255,-0.00238491078350112
"31",0.31,0.840118341512506,-2.7475525118917,-0.00246439782401242
"32",0.32,0.867190519985934,-2.83615465315198,-0.00254388422104557
"33",0.33,0.89426092322458,-2.92475500487919,-0.00262336997674215
"34",0.34,0.921329551282206,-3.01335356657158,-0.00270285508751703
"35",0.35,0.948396404212454,-3.10195033812273,-0.00278233955352997
"36",0.36,0.975461482069049,-3.19054531920389,-0.00286182337763977
"37",0.37,1.0025247849057,-3.27913850956482,-0.00294130655630404
"38",0.38,1.0295863127762,-3.36772990877137,-0.0030207890922036
"39",0.39,1.05664606573425,-3.45631951667465,-0.00310027098494287
"40",0.4,1.08370404383359,-3.54490733299866,-0.00317975223389719
"41",0.41,1.11076024712804,-3.63349335737476,-0.00325923284015273
"42",0.42,1.13781467567137,-3.72207758950839,-0.00333871280311465
"43",0.43,1.16486732951727,-3.81066002935175,-0.0034181921220007
"44",0.44,1.19191820871966,-3.89924067638619,-0.00349767079828392
"45",0.45,1.21896731333238,-3.98781953024884,-0.00357714883081706
"46",0.46,1.24601464340912,-4.07639659095625,-0.00365662622172316
"47",0.47,1.27306019900384,-4.16497185795336,-0.00373610296783147
"48",0.48,1.30010398017031,-4.25354533113162,-0.00381557907194591
"49",0.49,1.32714598696255,-4.34211700987686,-0.00389505453160272
"50",0.5,1.3541862194341,-4.43068689457215,-0.00397452935083775
"51",0.51,1.38122467763925,-4.51925498410537,-0.00405400352384436
"52",0.52,1.40826136163158,-4.6078212788431,-0.00413347705828487
"53",0.53,1.43529627146511,-4.69638577827479,-0.0042129499455115
"54",0.54,1.4623294071937,-4.7849484821933,-0.00429242219235429
"55",0.55,1.48936076887144,-4.87350939002883,-0.00437189379765535
"56",0.56,1.51639035655223,-4.96206850157607,-0.00445136475452318
"57",0.57,1.54341817028987,-5.0506258168251,-0.00453083507609001
"58",0.58,1.57044421013842,-5.13918133531351,-0.00461030475233254
"59",0.59,1.59746847615202,-5.22773505649499,-0.00468977378468
"60",0.6,1.62449096838417,-5.31628698087837,-0.00476924217416569
"61",0.61,1.65151168688956,-5.40483710704714,-0.0048487099249396
"62",0.62,1.67853063172152,-5.49338543579844,-0.00492817702886264
"63",0.63,1.7055478029345,-5.58193196619126,-0.00500764349451369
"64",0.64,1.73256320058257,-5.67047669786118,-0.0050871093147736
"65",0.65,1.75957682471947,-5.75901963101695,-0.00516657449096283
"66",0.66,1.78658867539952,-5.84756076492809,-0.0052460390274586
"67",0.67,1.81359875267676,-5.93610009940988,-0.0053255029272393
"68",0.68,1.84060705660512,-6.02463763435802,-0.00540496617638414
"69",0.69,1.86761358723868,-6.11317336951517,-0.00548442878958499
"70",0.7,1.89461834463176,-6.20170730427179,-0.00556389075874189
"71",0.71,1.92162132883829,-6.29023943861478,-0.00564335208362873
"72",0.72,1.94862253991256,-6.37876977202615,-0.00572281277403094
"73",0.73,1.97562197790835,-6.46729830470026,-0.00580227281507098
"74",0.74,2.00261964288038,-6.55582503557793,-0.00588173221715163
"75",0.75,2.02961553488248,-6.64434996483473,-0.0059611909799763
"76",0.76,2.05660965396885,-6.73287309212284,-0.0060406490957137
"77",0.77,2.08360200019388,-6.82139441692678,-0.00612010657596004
"78",0.78,2.11059257361133,-6.90991393949569,-0.00619956340597017
"79",0.79,2.13758137427541,-6.99843165951538,-0.00627901960001259
"80",0.8,2.16456840224114,-7.08694757572664,-0.00635847515212518
"81",0.81,2.19155365756166,-7.17546168918415,-0.00643793006618484
"82",0.82,2.21853714029226,-7.26397399831471,-0.0065173843394713
"83",0.83,2.24551885048662,-7.35248450354703,-0.00659683796187174
"84",0.84,2.27249878777384,-7.44099370938818,-0.00667629031445582
"85",0.85,2.29947695303293,-7.52950063002579,-0.00675574263007209
"86",0.86,2.3264533459175,-7.61800574661844,-0.0068351943035464
"87",0.87,2.35342796648181,-7.70650905889102,-0.00691464533489722
"88",0.88,2.38040081478013,-7.79501056656925,-0.0069940957241737
"89",0.89,2.40737189086676,-7.88351026937943,-0.0070735454713805
"90",0.9,2.43434119479599,-7.97200816704654,-0.00715299457658353
"91",0.91,2.46130872662213,-8.06050425929777,-0.00723244303978884
"92",0.92,2.48827448639949,-8.14899854585809,-0.00731189086103834
"93",0.93,2.51523847418242,-8.23749102645212,-0.00739133804037362
"94",0.94,2.54220069002524,-8.32598170080654,-0.00747078457781544
"95",0.95,2.56916113398232,-8.41447056864766,-0.0075502304734148
"96",0.96,2.59611980610801,-8.50295762969986,-0.00762967572718107
"97",0.97,2.62307670645669,-8.59144288369107,-0.00770912033915688
"98",0.98,2.65003183508274,-8.67992633034467,-0.00778856430938579
"99",0.99,2.67698519204057,-8.76840796938777,-0.00786800763787934
"100",1,2.70393677738457,-8.85688780054616,-0.00794745032469343
"101",1.01,2.73088659116916,-8.94536582354428,-0.00802689236984061
"102",1.02,2.75783463344878,-9.03384203810946,-0.00810633377337788
"103",1.03,2.78478090427787,-9.1223164439662,-0.00818577453531183
"104",1.04,2.81172540371087,-9.21078904084166,-0.00826521465569977
"105",1.05,2.83866813180224,-9.29925982846031,-0.00834465413456603
"106",1.06,2.86560908860647,-9.38772880654776,-0.00842409297193233
"107",1.07,2.89254827417804,-9.47619597483087,-0.00850353116784813
"108",1.08,2.91948568857143,-9.56466133303599,-0.00858296872233286
"109",1.09,2.94642133184115,-9.65312488088571,-0.00866240563542783
"110",1.1,2.97335520404173,-9.74158661810876,-0.008741841907178
"111",1.11,3.00028730522769,-9.83004654442976,-0.00882127753758327
"112",1.12,3.02721763545357,-9.91850465957538,-0.0089007125267189
"113",1.13,3.05414619477392,-10.0069609632691,-0.00898014687457249
"114",1.14,3.08107298324329,-10.0954154552406,-0.00905958058122408
"115",1.15,3.10799800091627,-10.1838681352113,-0.00913901364667524
"116",1.16,3.13492124784744,-10.2723190029092,-0.00921844607097011
"117",1.17,3.16184272409138,-10.3607680580596,-0.00929787785414321
"118",1.18,3.1887624297027,-10.4492153003883,-0.00937730899622591
"119",1.19,3.21568036473602,-10.5376607296208,-0.00945673949724413
"120",1.2,3.24259652924597,-10.6261043454853,-0.00953616935724752
"121",1.21,3.26951092328718,-10.7145461477034,-0.00961559857626759
"122",1.22,3.29642354691431,-10.8029861360033,-0.00969502715430726
"123",1.23,3.323334400182,-10.8914243101107,-0.00977445509143718
"124",1.24,3.35024348314494,-10.9798606697506,-0.00985388238768284
"125",1.25,3.3771507958578,-11.0682952146492,-0.00993330904307499
"126",1.26,3.40405633837527,-11.156727944532,-0.0100127350576464
"127",1.27,3.43096011075207,-11.2451588591255,-0.010092160431411
"128",1.28,3.4578621130429,-11.3335879581554,-0.0101715851644403
"129",1.29,3.48476234530249,-11.4220152413453,-0.0102510092567281
"130",1.3,3.51166080758558,-11.5104407084237,-0.0103304327083495
"131",1.31,3.53855749994692,-11.5988643591152,-0.0104098555193147
"132",1.32,3.56545242244125,-11.687286193146,-0.0104892776896521
"133",1.33,3.59234557512336,-11.775706210241,-0.0105686992194091
