"","SlaughterTaxLevel","SlaughterTaxRevenue","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD"
"1",0.001,0.0292666311078432,-0.00679364729136012,-0.00104721420073284
"2",0.002,0.0585311539704149,-0.0135876395343502,-0.00209452132699864
"3",0.003,0.0877935683063999,-0.0203819767403672,-0.0031419213916915
"4",0.004,0.117053873834432,-0.0271766589114435,-0.00418941440731013
"5",0.005,0.146312070273098,-0.033971686068881,-0.00523700038594138
"6",0.006,0.175568157340936,-0.0407670582005863,-0.00628467933928126
"7",0.007,0.204822134756436,-0.0475627753147876,-0.00733245127925919
"8",0.008,0.234074002238046,-0.054358837436169,-0.00838031621709603
"9",0.009,0.263323759504172,-0.0611552445511023,-0.00942827416343078
"10",0.01,0.29257140627319,-0.067951996640744,-0.0104763251278971
"11",0.011,0.321816942263412,-0.074749093814404,-0.0115244691220267
"12",0.012,0.351060367193139,-0.0815465359349474,-0.0125727061546314
"13",0.013,0.380301680780606,-0.0883443230214169,-0.0136210362368334
"14",0.014,0.409540882744053,-0.0951424551409303,-0.014669459376093
"15",0.015,0.438777972801635,-0.10194093230929,-0.0157179755835647
"16",0.016,0.468012950671525,-0.108739754444684,-0.0167665848664663
"17",0.017,0.497245816071884,-0.115538921618736,-0.0178152872310043
"18",0.018,0.526476568720725,-0.122338433726995,-0.0188640826899828
"19",0.019,0.555705208336239,-0.129138290785804,-0.0199129712447778
"20",0.02,0.584931734636313,-0.135938493024739,-0.0209619529108472
"21",0.021,0.614156147339215,-0.142739039746459,-0.0220110276825986
"22",0.022,0.643378446162653,-0.149539932021526,-0.0230601955819002
"23",0.023,0.672598630824829,-0.156341169044822,-0.0241094566052228
"24",0.024,0.701816701043513,-0.163142751075057,-0.0251588107646388
"25",0.025,0.731032656536968,-0.16994467800356,-0.026208258055349
"26",0.026,0.760246497022929,-0.176746949826125,-0.027257798490325
"27",0.027,0.789458222219087,-0.18354956660896,-0.028307432082729
"28",0.028,0.818667831605879,-0.190352549948159,-0.029357167234563
"29",0.029,0.84787532533123,-0.197155859784857,-0.0304069883977557
"30",0.03,0.877080702914,-0.203959514858852,-0.0314569028603036
"31",0.031,0.906283964071357,-0.210763515180432,-0.0325069106355808
"32",0.032,0.935485108520415,-0.217567860758365,-0.0335570117369765
"33",0.033,0.964684135978236,-0.224372551603366,-0.034607206177799
"34",0.034,0.993881046161825,-0.231177587723295,-0.0356574939714349
"35",0.035,1.02307583878813,-0.237982969132005,-0.0367078751312544
"36",0.036,1.05226851357406,-0.244788695835368,-0.0377583496706326
"37",0.037,1.08145907023645,-0.251594767844907,-0.0388089176029002
"38",0.038,1.11064750849209,-0.25840118516976,-0.0398595789414648
"39",0.039,1.13983382805772,-0.26520794781986,-0.0409103336996758
"40",0.04,1.16901802865001,-0.272015055805852,-0.0419611818908912
"41",0.041,1.1982001099856,-0.278822509136006,-0.043012123528494
"42",0.042,1.22738007178105,-0.285630307821805,-0.0440631586258748
"43",0.043,1.25655791375289,-0.29243845187078,-0.0451142871963888
"44",0.044,1.28573363561758,-0.299246941294683,-0.0461655092534075
"45",0.045,1.31490723709153,-0.306055776100479,-0.0472168248103042
"46",0.046,1.3440787178911,-0.312864956300629,-0.0482682338804711
"47",0.047,1.37324807773258,-0.319674481903093,-0.0493197364772676
"48",0.048,1.40241531633222,-0.326484352918769,-0.0503713326140997
"49",0.049,1.43158043340622,-0.333294569355274,-0.0514230223043032
"50",0.05,1.46074342867072,-0.340105131222884,-0.0524748055613023
"51",0.051,1.48990430184179,-0.346916038532669,-0.0535266823984533
"52",0.052,1.51906305263548,-0.353727291292174,-0.0545786528291562
"53",0.053,1.54821968076775,-0.360538889511361,-0.0556307168667698
"54",0.054,1.57737418595452,-0.367350833200234,-0.0566828745246966
"55",0.055,1.60652656791167,-0.374163122368856,-0.0577351258163338
"56",0.056,1.63567682635501,-0.380975757024615,-0.0587874707550354
"57",0.057,1.6648249610003,-0.387788737177871,-0.0598399093542101
"58",0.058,1.69397097156323,-0.394602062839084,-0.0608924416272652
"59",0.059,1.72311485775947,-0.401415734016226,-0.0619450675875504
"60",0.06,1.7522566193046,-0.40822975072021,-0.062997787248486
"61",0.061,1.78139625591416,-0.415044112958384,-0.0640506006234553
"62",0.062,1.81053376730366,-0.421858820741434,-0.0651035077258487
"63",0.063,1.83966915318851,-0.42867387407837,-0.0661565085690711
"64",0.064,1.86880241328409,-0.435489272978245,-0.0672096031665021
"65",0.065,1.89793354730574,-0.442305017450536,-0.0682627915315721
"66",0.066,1.92706255496871,-0.449121107503473,-0.069316073677637
"67",0.067,1.95618943598823,-0.455937543148266,-0.0703694496180976
"68",0.068,1.98531419007946,-0.462754324393586,-0.0714229193663783
"69",0.069,2.0144368169575,-0.46957145124658,-0.0724764829358784
"70",0.07,2.0435573163374,-0.476388923718957,-0.0735301403399891
"71",0.071,2.07267568793417,-0.483206741818549,-0.0745838915921166
"72",0.072,2.10179193146274,-0.490024905554648,-0.0756377367056631
"73",0.073,2.13090604663801,-0.496843414937658,-0.0766916756940171
"74",0.074,2.1600180331748,-0.503662269973958,-0.0777457085706238
"75",0.075,2.18912789078791,-0.510481470675572,-0.0787998353488427
"76",0.076,2.21823561919206,-0.517301017050187,-0.0798540560421246
"77",0.077,2.24734121810191,-0.52412090910606,-0.0809083706638428
"78",0.078,2.27644468723209,-0.530941146853053,-0.0819627792274538
"79",0.079,2.30554602629715,-0.537761730299636,-0.0830172817463119
"80",0.08,2.33464523501161,-0.544582659456026,-0.0840718782338695
"81",0.081,2.36374231308993,-0.55140393432967,-0.0851265687035321
"82",0.082,2.39283726024649,-0.558225554931369,-0.0861813531686982
"83",0.083,2.42193007619564,-0.565047521268284,-0.0872362316427992
"84",0.084,2.45102076065168,-0.571869833350036,-0.0882912041392412
"85",0.085,2.48010931332884,-0.578692491185421,-0.089346270671437
"86",0.086,2.50919573394131,-0.585515494782996,-0.0904014312528177
