"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",4.223,0.4935,0.6155,0,NA
"Δ Consumer price (USD/kg)",2.03821607004593,0.213250854323941,0.439533329453958,0.362048824724997,NA
"Δ Consumer price (%)",0.275755076175817,0.0465135896185009,0.0486764044712403,0.0195929769583569,NA
"Δ Producer price (USD/kg)",-2.18478392995407,-0.280249145676059,-0.175966670546043,0.362048824724997,NA
"Δ Producer price (%)",-0.295584588840283,-0.0611270411752261,-0.0194875433897076,0.0195929769583569,NA
"Δ Consumption (kg)",-4.83912322595304,-0.433075399140431,-0.285687171152151,0.0716939538049504,-5.48619184244067
"Δ Consumption (%)",-0.191305885512601,-0.014029479679656,-0.0129436145371635,0.0137931343654912,-0.0657551549119831
"Tax revenue (USD)",86.3860694062204,15.0201073651862,13.4092715980698,0,114.815448369476
"Δ Emissions (kg CO2-eq.)",-408.712347663994,-4.27445418951606,-3.51680907688296,0.977188590361479,-415.526422340031
"Δ Emissions (%)",-0.191305885512601,-0.014029479679656,-0.0129436145371635,0.0137931343654913,-0.149273486154683
"Δ Direct deaths",-0.0255167725450581,-0.402329648994989,-0.00591337910151002,0.0431367440257957,-0.390623056615762
"Δ Direct deaths (%)",-0.191305885512601,-0.0140294796796561,-0.0129436145371635,0.0137931343654913,-0.0120580937319029
"Δ Total deaths",-0.0278153192680966,-0.464396597113229,-0.238175231272656,0.426869438501047,-0.303517709152935
"Δ Total deaths (%)",-0.191305885512601,-0.0140294796796561,-0.0129436145371635,0.0137931343654912,-0.00367473409648084
"Δ Direct time in agriculture (days)",-28.0174162544739,-19.7141528007544,-0.993447689053681,14.067821547733,-34.6571951965489
"Δ Direct time in agriculture (%)",-0.191305885512601,-0.014029479679656,-0.0129436145371635,0.0137931343654913,-0.0130865074553449
"Δ Total time in agriculture (days)",-28.7673992138195,-20.0686345968536,-1.27249877457362,15.4566371681999,-34.6518954170468
"Δ Total time in agriculture (%)",-0.191305885512601,-0.0140294796796561,-0.0129436145371635,0.0137931343654912,-0.0123767809719357
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
