"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",1,1,1,0,NA
"Δ Consumer price (USD/kg)",0.477385105905897,0.251446457586806,0.491624806400175,0.228611167563951,NA
"Δ Consumer price (%)",0.0645865608553045,0.0548446916018074,0.0544453089693096,0.0123717383750819,NA
"Δ Producer price (USD/kg)",-0.522614894094103,-0.748553542413194,-0.508375193599825,0.228611167563951,NA
"Δ Producer price (%)",-0.0707058059493604,-0.163272088122057,-0.0563003414952684,0.0123717383750819,NA
"Δ Consumption (kg)",-1.09945712684957,-1.20829570810107,-0.830659701504601,0.0453177812958643,-3.09309475515938
"Δ Consumption (%)",-0.0434650264963388,-0.0391427453913694,-0.0376346580228648,0.00871864659968915,-0.0370725141635706
"Tax revenue (USD)",24.1957564155184,29.6606608768269,21.2410089449844,0,75.0974262373298
"Δ Emissions (kg CO2-eq.)",-92.8601489337148,-11.9258786389576,-10.2254209255216,0.617681359062644,-114.393767139131
"Δ Emissions (%)",-0.0434650264963387,-0.0391427453913693,-0.0376346580228648,0.00871864659968935,-0.0410947547428202
"Δ Direct deaths",-0.00579745464599912,-1.12251397582807,-0.0171936517118852,0.0272667558117252,-1.11823832637423
"Δ Direct deaths (%)",-0.0434650264963389,-0.0391427453913694,-0.0376346580228647,0.00871864659968919,-0.0345187574713239
"Δ Total deaths",-0.00631968841811878,-1.29568296020135,-0.692514703116885,0.269824369130319,-1.72469298260603
"Δ Total deaths (%)",-0.0434650264963388,-0.0391427453913695,-0.0376346580228649,0.00871864659968921,-0.0208811147357144
"Δ Direct time in agriculture (days)",-6.36560520130703,-55.0031848155757,-2.88853348759672,8.89227649438681,-55.3650470100926
"Δ Direct time in agriculture (%)",-0.0434650264963388,-0.0391427453913694,-0.0376346580228647,0.00871864659968917,-0.0209057627529895
"Δ Total time in agriculture (days)",-6.5360026206672,-55.9922015865043,-3.6998982068024,9.77014748919646,-56.4579549247774
"Δ Total time in agriculture (%)",-0.0434650264963388,-0.0391427453913694,-0.0376346580228647,0.00871864659968904,-0.0201653541261594
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
