"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.5,2.5,2.5,0,NA
"Δ Consumer price (USD/kg)",1.26438309848194,0.713954817727599,1.28741679075965,0.593848615124251,NA
"Δ Consumer price (%)",0.171061381941437,0.155725525711082,0.142575809911697,0.032137273865533,NA
"Δ Producer price (USD/kg)",-1.23561690151806,-1.7860451822724,-1.21258320924035,0.593848615124251,NA
"Δ Producer price (%)",-0.167169535070226,-0.389566423598578,-0.134288316249748,0.032137273865533,NA
"Δ Consumption (kg)",-2.65421109451628,-3.23106209098643,-2.00957384852592,0.117382893724792,-7.77746414030384
"Δ Consumption (%)",-0.104929380812328,-0.104670272287856,-0.0910476629887969,0.022583187834236,-0.0932173671747795
"Tax revenue (USD)",56.6025061196293,69.0947362348539,50.1552369949077,0,175.852479349391
"Δ Emissions (kg CO2-eq.)",-224.174669042845,-31.890582838036,-24.7378540753541,1.59992884146892,-279.203177114766
"Δ Emissions (%)",-0.104929380812328,-0.104670272287856,-0.0910476629887969,0.0225831878342361,-0.10030079762119
"Δ Direct deaths",-0.0139956966630052,-3.00167610427129,-0.0415957494727175,0.0706268181747829,-2.98664073223223
"Δ Direct deaths (%)",-0.104929380812328,-0.104670272287856,-0.0910476629887969,0.022583187834236,-0.092194235037692
"Δ Total deaths",-0.0152564267433703,-3.4647413431791,-1.67536650036426,0.698903704910055,-4.45646056537667
"Δ Total deaths (%)",-0.104929380812328,-0.104670272287856,-0.091047662988797,0.0225831878342361,-0.0539550316023252
"Δ Direct time in agriculture (days)",-15.3672749359797,-147.082129109293,-6.98808591141652,23.0329269629829,-146.404562993706
"Δ Direct time in agriculture (%)",-0.104929380812328,-0.104670272287856,-0.0910476629887967,0.0225831878342361,-0.0552821540880042
"Δ Total time in agriculture (days)",-15.7786331507731,-149.726824918831,-8.95098036552204,25.3068034578421,-149.149634977284
"Δ Total time in agriculture (%)",-0.104929380812328,-0.104670272287856,-0.0910476629887969,0.0225831878342361,-0.0532724788050086
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
