"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0131825391468682,2.32251502736898,0.0517469779764863,0,NA
"Δ Consumer price (USD/kg)",0.0838062185725068,0.554188439602662,0.0847745857595239,0.168825309163847,NA
"Δ Consumer price (%)",0.0113383416636235,0.120877797806326,0.00938841664280363,0.00913631026132243,NA
"Δ Producer price (USD/kg)",0.0706236794256387,-1.76832658776632,0.0330276077830369,0.168825309163847,NA
"Δ Producer price (%)",0.00955484474194858,-0.385701700823678,0.00365766390722138,0.00913631026132243,NA
"Δ Consumption (kg)",0.146190778770343,-3.19196281168892,0.0534107714840708,0.0334821801719558,-2.95887908126255
"Δ Consumption (%)",0.00577938504158038,-0.103403650943208,0.00241987918265378,0.00644160609718647,-0.0354638623551468
"Tax revenue (USD)",0.335382308414709,64.2802339507454,1.14490599736986,0,65.76052225653
"Δ Emissions (kg CO2-eq.)",12.3472731749434,-31.5046729513697,0.657486596968909,0.456362115743758,-18.0435510637136
"Δ Emissions (%)",0.0057793850415805,-0.103403650943208,0.00241987918265377,0.00644160609718647,-0.00648195547884195
"Δ Direct deaths",0.000770866265620479,-2.96535263878019,0.00110553840627736,0.0201455235602239,-2.94333071054807
"Δ Direct deaths (%)",0.00577938504158036,-0.103403650943208,0.00241987918265382,0.0064416060971865,-0.0908573034558165
"Δ Total deaths",0.000840305773521177,-3.42281429700797,0.0445281557424018,0.199354599533983,-3.17809123595806
"Δ Total deaths (%)",0.00577938504158037,-0.103403650943208,0.0024198791826537,0.0064416060971865,-0.0384776237903715
"Δ Direct time in agriculture (days)",0.846411159651268,-145.302279300229,0.185730452254589,6.56988924016628,-137.700248448157
"Δ Direct time in agriculture (%)",0.00577938504158023,-0.103403650943208,0.00241987918265372,0.00644160609718649,-0.0519954173354196
"Δ Total time in agriculture (days)",0.869068279086292,-147.914971484581,0.237900571413178,7.21848751606285,-139.589515118018
"Δ Total time in agriculture (%)",0.00577938504158023,-0.103403650943208,0.00241987918265375,0.00644160609718649,-0.0498578456907295
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
