"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0263650782937365,4.64503005473796,0.103493955952973,0,NA
"Δ Consumer price (USD/kg)",0.202092070799067,1.46371665542107,0.197292689179172,0.409984468392686,NA
"Δ Consumer price (%)",0.0273415145708616,0.319261163308628,0.0218493071950532,0.0221871076327995,NA
"Δ Producer price (USD/kg)",0.17572699250533,-3.18131339931689,0.0937987332261994,0.409984468392686,NA
"Δ Producer price (%)",0.0237745207275118,-0.69389783395138,0.0103878017238889,0.0221871076327995,NA
"Δ Consumption (kg)",0.362748957651743,-7.19035641716091,0.151515559882917,0.081155809992163,-6.59493608963409
"Δ Consumption (%)",0.0143406165377556,-0.232931631407058,0.00686470797970315,0.015613492245212,-0.0790440904479193
"Tax revenue (USD)",0.676474190170776,109.987809433401,2.29996524738905,0,112.964248870961
"Δ Emissions (kg CO2-eq.)",30.6377769632663,-70.9688178373782,1.86515654215873,1.10615369019318,-37.3597306417599
"Δ Emissions (%)",0.0143406165377557,-0.232931631407057,0.00686470797970323,0.015613492245212,-0.0134210893335968
"Δ Direct deaths",0.00191278093389191,-6.67988433239808,0.00313618893614254,0.048829743877179,-6.62600561865086
"Δ Direct deaths (%)",0.0143406165377557,-0.232931631407058,0.0068647079797032,0.015613492245212,-0.204537329439819
"Δ Total deaths",0.00208508392948917,-7.71038266959604,0.126317374948908,0.483205810307261,-7.09877440041039
"Δ Total deaths (%)",0.0143406165377556,-0.232931631407058,0.00686470797970302,0.0156134922452121,-0.0859459186260176
"Δ Direct time in agriculture (days)",2.10023346541328,-327.314332287506,0.526879741271941,15.9244314470022,-308.762787633818
"Δ Direct time in agriculture (%)",0.0143406165377555,-0.232931631407058,0.00686470797970314,0.015613492245212,-0.116588388050093
"Δ Total time in agriculture (days)",2.15645347140531,-333.199798103405,0.67487582134784,17.4965369123445,-312.871931898308
"Δ Total time in agriculture (%)",0.0143406165377555,-0.232931631407057,0.00686470797970317,0.015613492245212,-0.111749944029519
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
