"","TR","CarbonTaxLevel","SlaughterTaxLevel","SCAUThreshold"
"1",0,0.01,0.001,0.0845956100076032
"3",20,7.56,0.702,0.0882048659290152
"5",40,15.52,1.447,0.0835753506618015
"7",60,23.94,2.253,0.0782603744294864
"9",80,32.9,3.15,0.0721063693569234
"11",100,42.5,4.19,0.0649643905681853
"13",120,52.7,5.52,0.0559210086302343
"15",140,63.8,7.76,0.0435651551204281
"17",160,75.9,17.59,0.0285158753673401
"19",180,89.1,29.89,0.0298551799874119
"21",200,103.6,29.89,0.0339950384710149
"23",220,119.6,29.89,0.0382574056778026
"25",240,137.3,29.89,0.0426127161142764
