"","TR","ClosestCarbonTaxRevenue","CarbonTaxLevel","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD","ClosestSlaughterTaxRevenue","SlaughterTaxLevel","SlaughterTaxDeltaCarbon","SlaughterTaxDeltaDD","SCAUThreshold"
"1",1,0.999324615242086,0.36,-7.75688331412459,-0.00778482482508816,0.998858333409677,0.031,0.0639211615716988,-0.173855506911244,0.0470932278801562
"2",11,11.01234705362,4.08,-84.5539223150179,-0.0899728311261399,11.0084025386312,0.361,1.44107629544493,-1.9009022108097,0.0474866660043307
"3",21,20.9940933868377,8,-159.396918965203,-0.179719117329372,20.9957860008353,0.729,4.22662003893107,-3.59428822648993,0.0479192348355659
"4",31,30.9951794390655,12.15,-232.615017088192,-0.277789818548643,30.9930440466029,1.142,8.53969075304198,-5.25582407674238,0.0484437622027809
"5",41,40.9893559099861,16.53,-303.963739931164,-0.38424095533752,41.0005044706089,1.607,14.5010198282711,-6.88139918076708,0.0490160080314775
"6",51,50.9979155454993,21.16,-373.549162003318,-0.499574942573122,50.9984594555206,2.131,22.2148598516682,-8.46338889839612,0.0496952872141884
"7",61,60.998279809271,26.04,-441.174728676642,-0.623766751310052,61.0045817172002,2.724,31.8060978077852,-9.99987117379999,0.0504453454411103
"8",71,71.0296372252553,31.2,-507.067655613021,-0.757517127107235,71.0675351278927,3.4,43.4425557496677,-11.4928758544277,0.05128009462429
"9",81,80.9980689632489,36.6,-570.596598788529,-0.899662411273933,81.0360617754955,4.16,57.0235470508271,-12.9152695263273,0.0522337439822797
"10",91,90.9996491645561,42.3,-632.366649895426,-1.05161009654885,90.9750502157481,5.02,72.6604376637073,-14.2725721052173,0.0533264589291517
"11",101,101.015538514015,48.3,-692.239575466607,-1.21316262698946,100.952899599454,6,90.4946735916868,-15.5696088019381,0.0545214490772885
"12",111,111.031008387086,54.6,-750.123640175493,-1.38406523443753,110.999251740381,7.12,110.607982493238,-16.8053095207074,0.0558146675255688
"13",121,121.034786434486,61.2,-805.966003521137,-1.56401244205049,120.972012712326,8.38,132.667136908196,-17.9592910288567,0.057250209897908
"14",131,131.01846109869,68.1,-859.745800856047,-1.75265478225742,130.983530598462,9.81,156.819288887034,-19.0430502134207,0.0587936287397382
"15",141,140.975952403116,75.3,-911.467989356887,-1.94960552385212,140.981422349241,11.42,182.813953473294,-20.049958762976,0.0604563860369804
"16",151,151.032568894145,82.9,-961.794070074504,-2.15717452549629,150.986054085628,13.23,210.533489844027,-20.9826919108699,0.0622733248664583
"17",161,161.045366644942,90.8,-1010.03120636241,-2.37216829234421,161.011053275484,15.26,239.823235816295,-21.8439090229381,0.0641881205933962
"18",171,171.013892544849,99,-1056.24553631135,-2.59411204602846,170.982291320184,17.51,270.239445399385,-22.6302553283547,0.0662046064963418
"19",181,181.052889196375,107.6,-1101.01092320863,-2.8251955076,181.008482475685,20.02,301.879011793057,-23.3537093274705,0.0683386019714571
"20",191,191.040037149227,116.5,-1143.82994726218,-3.06219846376725,190.990828040007,22.78,334.191457145897,-24.0109468516565,0.0705541628091985
"21",201,200.977385338448,125.7,-1184.79315605541,-3.30461550369497,200.993928366804,25.82,367.141405169257,-24.6106641689473,0.0728400927646285
"22",211,210.969313341352,135.3,-1224.38798373639,-3.55453153421997,211.00856795234,29.15,400.463141495301,-25.1563761867868,0.075218165456005
"23",221,221.00730204764,145.3,-1262.61728435268,-3.81134280419742,221.006613200103,32.77,433.833095223679,-25.65091711581,0.0776778134670108
"24",231,230.988836879546,155.6,-1299.15449926371,-4.07192907102008,230.998018122355,36.69,467.06635838456,-26.0991526266398,0.0801835443849056
"25",241,241.009271299676,166.3,-1334.41462779992,-4.33827389606015,240.995292680984,40.92,500.001192854774,-26.5056665386754,0.0827528907088585
"26",251,250.973549607771,177.3,-1368.12813767936,-4.60735403429685,250.991413788354,45.46,532.427899319846,-26.8739435029978,0.08535460896114
"27",261,260.971205806101,188.7,-1400.66333102633,-4.88109446758972,261.005728305154,50.32,564.240311398778,-27.2081737794606,0.0880054043334009
"28",271,270.997175471527,200.5,-1432.0517321128,-5.15892113142224,271.000777003491,55.48,595.1732398335,-27.510434948768,0.090697435015479
"29",281,280.965784651708,212.6,-1462.08857984716,-5.43799249221954,281.004108416503,60.95,625.18891538432,-27.7846883209091,0.0934043006282726
"30",291,291.037618489111,225.2,-1491.30682283009,-5.72238030058462,291.006563656459,66.72,654.156670824111,-28.0334829010009,0.0961612490462112
"31",301,300.972310609897,238,-1519.0690519422,-6.00486803781964,301.002776809288,72.78,681.98168540206,-28.2593023349429,0.0989039176623234
"32",311,311.002401314077,251.3,-1546.08437300405,-6.2916536569825,311.005095108591,79.13,708.638343830837,-28.4647863044724,0.101687152315401
"33",321,320.973366866959,264.9,-1571.98110320343,-6.57794907103846,320.995051256175,85.75,734.037286510818,-28.6517095465758,0.104468760194704
"34",331,331.028552683098,279,-1597.17632463857,-6.86751215340739,327.202912679937,90,749.192319800714,-28.7595041498478,0.10717931218049
"35",341,341.022124283611,293.4,-1621.34733027626,-7.15580710541468,327.202912679937,90,749.192319800714,-28.7595041498478,0.109728424963625
