"","CarbonTaxLevel","CarbonTaxRevenue","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD"
"1",0.01,0.0278344231398958,-0.216278330338028,-0.000215823488052103
"2",0.02,0.0556645216416612,-0.432510236857823,-0.000431671165459724
"3",0.03,0.0834902968975451,-0.648695735082299,-0.000647543023795022
"4",0.04,0.111311750299176,-0.864834840527749,-0.000863439054625853
"5",0.05,0.139128883237561,-1.08092756870391,-0.00107935924952651
"6",0.06,0.166941697103088,-1.29697393511422,-0.00129530360008076
"7",0.07,0.194750193285527,-1.51297395525185,-0.00151127209785332
"8",0.08,0.222554373174025,-1.72892764460723,-0.0017272647344283
"9",0.09,0.250354238157113,-1.94483501866131,-0.00194328150139281
"10",0.1,0.278149789622703,-2.16069609288904,-0.00215932239034242
"11",0.11,0.305941028958088,-2.3765108827576,-0.00237538739285265
"12",0.12,0.333727957549943,-2.59227940372806,-0.00259147650051597
"13",0.13,0.361510576784327,-2.80800167125433,-0.00280758970494144
"14",0.14,0.389288888046679,-3.02367770078347,-0.00302372699772119
"15",0.15,0.417062892721825,-3.23930750775466,-0.00323988837046413
"16",0.16,0.444832592193971,-3.4548911076017,-0.00345607381476051
"17",0.17,0.472597987846709,-3.67042851575077,-0.0036722833222266
"18",0.18,0.500359081063014,-3.88591974761991,-0.00388851688446026
"19",0.19,0.528115873225247,-4.10136481862278,-0.0041047744930908
"20",0.2,0.555868365715151,-4.31676374416425,-0.00432105613973238
"21",0.21,0.583616559913858,-4.53211653964192,-0.00453736181600359
"22",0.22,0.611360457201884,-4.74742322044897,-0.00475369151352067
"23",0.23,0.639100058959129,-4.96268380196905,-0.00497004522391067
"24",0.24,0.666835366564881,-5.17789829958069,-0.00518642293879668
"25",0.25,0.694566381397817,-5.39306672865348,-0.00540282464982411
"26",0.26,0.722293104835996,-5.60818910455178,-0.00561925034861016
"27",0.27,0.750015538256867,-5.82326544263339,-0.00583570002680453
"28",0.28,0.777733683037268,-6.03829575824855,-0.00605217367603905
"29",0.29,0.805447540553422,-6.25328006674044,-0.00626867128796268
"30",0.3,0.833157112180942,-6.46821838344542,-0.00648519285420709
"31",0.31,0.860862399294831,-6.68311072369217,-0.00670173836643187
"32",0.32,0.888563403269477,-6.89795710280488,-0.00691830781627961
"33",0.33,0.916260125478661,-7.11275753609868,-0.0071349011954171
"34",0.34,0.943952567295552,-7.32751203888355,-0.00735151849548521
"35",0.35,0.971640730092711,-7.54222062646048,-0.00756815970815303
"36",0.36,0.999324615242086,-7.75688331412459,-0.00778482482508816
"37",0.37,1.02700422411502,-7.97150011716644,-0.00800151383795322
"38",0.38,1.05467955808224,-8.18607105086534,-0.00821822673839595
"39",0.39,1.08235061851387,-8.40059613049718,-0.00843496351811562
"40",0.4,1.11001740677944,-8.61507537132978,-0.00865172416876858
"41",0.41,1.13767992424783,-8.82950878862472,-0.00886850868204092
"42",0.42,1.16533817228736,-9.04389639763563,-0.00908531704959994
"43",0.43,1.19299215226571,-9.25823821361061,-0.00930214926315781
"44",0.44,1.22064186554998,-9.47253425178874,-0.00951900531435926
"45",0.45,1.24828731350663,-9.6867845274068,-0.00973588519492785
"46",0.46,1.27592849750155,-9.90098905568965,-0.00995278889653703
"47",0.47,1.30356541889999,-10.1151478518588,-0.0101697164108679
"48",0.48,1.33119807906662,-10.3292609311262,-0.0103866677296549
"49",0.49,1.3588264793655,-10.5433283086995,-0.0106036428445677
"50",0.5,1.38645062116007,-10.7573499997794,-0.0108206417473174
"51",0.51,1.41407050581318,-10.9713260195574,-0.0110376644296223
"52",0.52,1.44168613468708,-11.1852563832206,-0.0112547108831616
"53",0.53,1.46929750914341,-11.3991411059479,-0.0114717810996691
"54",0.54,1.49690463054318,-11.6129802029128,-0.0116888750708561
"55",0.55,1.52450750024685,-11.8267736892808,-0.0119059927884406
"56",0.56,1.55210611961424,-12.0405215802109,-0.012123134244126
"57",0.57,1.57970049000457,-12.2542238908564,-0.0123402994296662
"58",0.58,1.60729061277646,-12.4678806363622,-0.0125574883367554
"59",0.59,1.63487648928795,-12.6814918318668,-0.0127747009571367
"60",0.6,1.66245812089645,-12.8950574925037,-0.012991937282551
"61",0.61,1.69003550895878,-13.1085776333963,-0.0132091973047026
"62",0.62,1.71760865483116,-13.3220522696646,-0.0134264810153601
"63",0.63,1.7451775598692,-13.5354814164205,-0.0136437884062441
"64",0.64,1.77274222542794,-13.7488650887699,-0.0138611194691125
"65",0.65,1.80030265286177,-13.9622033018086,-0.0140784741957022
"66",0.66,1.82785884352453,-14.1754960706306,-0.0142958525777471
"67",0.67,1.85541079876943,-14.3887434103204,-0.014513254607033
"68",0.68,1.8829585199491,-14.6019453359546,-0.0147306802752706
"69",0.69,1.91050200841555,-14.8151018626065,-0.0149481295742484
"70",0.7,1.93804126552021,-15.0282130053407,-0.0151656024957356
"71",0.71,1.9655762926139,-15.241278779215,-0.0153830990314689
"72",0.72,1.99310709104686,-15.4542991992809,-0.0156006191732098
"73",0.73,2.02063366216872,-15.6672742805812,-0.0158181629127462
"74",0.74,2.04815600732851,-15.8802040381563,-0.0160357302418458
"75",0.75,2.07567412787466,-16.0930884870369,-0.0162533211522782
"76",0.76,2.10318802515503,-16.3059276422466,-0.0164709356358139
"77",0.77,2.13069770051686,-16.5187215188042,-0.0166885736842491
"78",0.78,2.1582031553068,-16.7314701317198,-0.0169062352893503
"79",0.79,2.1857043908709,-16.9441734959993,-0.0171239204429101
"80",0.8,2.21320140855462,-17.156831626639,-0.0173416291367086
"81",0.81,2.24069420970284,-17.3694445386311,-0.0175593613625572
"82",0.82,2.26818279565983,-17.5820122469599,-0.0177771171122334
"83",0.83,2.29566716776925,-17.7945347666018,-0.0179948963775343
"84",0.84,2.32314732737421,-18.00701211253,-0.0182126991502542
"85",0.85,2.35062327581718,-18.2194442997075,-0.0184305254222131
"86",0.86,2.37809501444007,-18.4318313430932,-0.0186483751852081
"87",0.87,2.40556254458419,-18.6441732576361,-0.0188662484310395
"88",0.88,2.43302586759024,-18.8564700582829,-0.0190841451515269
"89",0.89,2.46048498479835,-19.0687217599712,-0.0193020653384836
"90",0.9,2.48793989754806,-19.2809283776302,-0.0195200089837005
