"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",4.223,0.4935,0.6155,0.6815,NA
"Δ Consumer price (USD/kg)",4.223,0.4935,0.6155,0.6815,NA
"Δ Consumer price (%)",0.5713396650161,0.107640630793727,0.0681639478609478,0.0368806991909516,NA
"Δ Producer price (USD/kg)",0,0,0,0,NA
"Δ Producer price (%)",0,0,0,0,NA
"Δ Consumption (kg)",-8.23974042794868,-1.38597467881417,-0.0299217386229671,0.120456040574521,-9.5351808048113
"Δ Consumption (%)",-0.325743066535003,-0.0448986565192451,-0.00135566273226591,0.0231744277529956,-0.114284609240935
"Tax revenue (USD)",72.0252629621928,14.5498515706672,13.5666952217915,3.62439149165154,103.766201246303
"Δ Emissions (kg CO2-eq.)",-695.928476544545,-13.6795700798959,-0.368336602448721,1.64181583303072,-708.334567393859
"Δ Emissions (%)",-0.325743066535003,-0.0448986565192451,-0.0013556627322659,0.0231744277529957,-0.254461725065044
"Δ Direct deaths",-0.0434482803005866,-1.28757880763952,-0.00061934381981632,0.0724758659950644,-1.25917056576486
"Δ Direct deaths (%)",-0.325743066535003,-0.0448986565192451,-0.00135566273226586,0.0231744277529955,-0.0388691769451307
"Δ Total deaths",-0.047362094327428,-1.48621216029333,-0.0249455269127559,0.717201377176028,-0.84131840435749
"Δ Total deaths (%)",-0.325743066535003,-0.0448986565192452,-0.00135566273226589,0.0231744277529956,-0.0101859671882656
"Δ Direct time in agriculture (days)",-47.7062117700441,-63.0913615743368,-0.104049761729144,23.6359412923302,-87.2656818137798
"Δ Direct time in agriculture (%)",-0.325743066535003,-0.0448986565192452,-0.00135566273226589,0.0231744277529956,-0.0329513969372082
"Δ Total time in agriculture (days)",-48.9832333753734,-64.2258125139863,-0.133276463123224,25.9693490882598,-87.3729732642231
"Δ Total time in agriculture (%)",-0.325743066535003,-0.0448986565192452,-0.00135566273226591,0.0231744277529956,-0.0312074170818977
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
