"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",1,1,1,1,NA
"Δ Consumer price (USD/kg)",1,1,1,1,NA
"Δ Consumer price (%)",0.135292366804665,0.218116779723864,0.110745650464578,0.0541169467218659,NA
"Δ Producer price (USD/kg)",0,0,0,0,NA
"Δ Producer price (%)",0,0,0,0,NA
"Δ Consumption (kg)",-1.89697942086856,-4.73678658584167,-1.39285405470443,-0.00889967633482325,-8.03551973774949
"Δ Consumption (%)",-0.0749936116447972,-0.153448224685199,-0.0631059697847536,-0.00171220061080135,-0.096310311474444
"Tax revenue (USD)",23.3982341214994,26.1321699990863,20.6788145917846,5.18890032366518,75.3981190360355
"Δ Emissions (kg CO2-eq.)",-160.218881886559,-46.7520836022573,-17.1460334134115,-0.121302588443641,-224.238301490671
"Δ Emissions (%)",-0.0749936116447972,-0.153448224685199,-0.0631059697847536,-0.00171220061080134,-0.0805552455711853
"Δ Direct deaths",-0.0100028021905613,-4.40050321082283,-0.0288303952372999,-0.00535474805884117,-4.44469115630954
"Δ Direct deaths (%)",-0.0749936116447972,-0.153448224685199,-0.0631059697847536,-0.00171220061080138,-0.137202609176392
"Δ Total deaths",-0.0109038529859045,-5.07936395390389,-1.16121187825968,-0.0529891244416874,-6.30446880959116
"Δ Total deaths (%)",-0.0749936116447972,-0.153448224685199,-0.0631059697847537,-0.00171220061080137,-0.0763291425711548
"Δ Direct time in agriculture (days)",-10.9830768052364,-215.624657330319,-4.84350639986637,-1.74629870255853,-233.19753923798
"Δ Direct time in agriculture (%)",-0.0749936116447974,-0.153448224685199,-0.0631059697847536,-0.00171220061080135,-0.0880550580766504
"Δ Total time in agriculture (days)",-11.2770768076026,-219.501821953431,-6.20400653842221,-1.91869831026497,-238.901603609721
"Δ Total time in agriculture (%)",-0.0749936116447973,-0.153448224685199,-0.0631059697847536,-0.00171220061080128,-0.0853296128865468
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
