"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.5,2.5,2.5,2.5,NA
"Δ Consumer price (USD/kg)",2.5,2.5,2.5,2.5,NA
"Δ Consumer price (%)",0.338230917011662,0.54529194930966,0.276864126161445,0.135292366804665,NA
"Δ Producer price (USD/kg)",0,0,0,0,NA
"Δ Producer price (%)",0,0,0,0,NA
"Δ Consumption (kg)",-4.18316901945554,-9.4249210580319,-3.14180028917344,-0.0596293151964407,-16.8095196818573
"Δ Consumption (%)",-0.16537393576255,-0.30532036390999,-0.142345390350594,-0.0114720295502791,-0.201471731652904
"Tax revenue (USD)",52.7801113072811,53.6100888172403,47.3246708932889,12.8454267120089,166.560297729819
"Δ Emissions (kg CO2-eq.)",-353.310455383215,-93.0239708427748,-38.675561559725,-0.812747566127484,-485.822735351842
"Δ Emissions (%)",-0.16537393576255,-0.30532036390999,-0.142345390350594,-0.0114720295502791,-0.17452669544039
"Δ Direct deaths",-0.0220579157427757,-8.75580831561817,-0.0650314681481504,-0.035877704737282,-8.87877540424638
"Δ Direct deaths (%)",-0.16537393576255,-0.30532036390999,-0.142345390350594,-0.0114720295502791,-0.274077795039702
"Δ Total deaths",-0.024044889207311,-10.106557140161,-2.6192951103424,-0.355035968100687,-13.1049331078114
"Δ Total deaths (%)",-0.16537393576255,-0.30532036390999,-0.142345390350594,-0.011472029550279,-0.158663376373568
"Δ Direct time in agriculture (days)",-24.2195914855677,-429.03460746529,-10.9252866488893,-11.7004924498826,-475.87997804963
"Δ Direct time in agriculture (%)",-0.16537393576255,-0.30532036390999,-0.142345390350594,-0.0114720295502791,-0.17969160069872
"Δ Total time in agriculture (days)",-24.8679125417104,-436.74911388005,-13.9941076171007,-12.8555985639612,-488.466732602823
"Δ Total time in agriculture (%)",-0.16537393576255,-0.30532036390999,-0.142345390350594,-0.0114720295502791,-0.174467967444231
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
