"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",5,5,5,5,NA
"Δ Consumer price (USD/kg)",5,5,5,5,NA
"Δ Consumer price (%)",0.676461834023324,1.09058389861932,0.55372825232289,0.27058473360933,NA
"Δ Producer price (USD/kg)",0,0,0,0,NA
"Δ Producer price (%)",0,0,0,0,NA
"Δ Consumption (kg)",-6.99726815820109,-14.1076132872399,-5.39657713093852,-0.194831159892533,-26.6962897362721
"Δ Consumption (%)",-0.27662419795275,-0.457016201646676,-0.244502453229651,-0.0374833891054932,-0.31997033964507
"Tax revenue (USD)",91.4897269208346,83.8067164884403,83.3754575777524,25.0148442005373,283.686745187565
"Δ Emissions (kg CO2-eq.)",-590.989268641664,-139.242143145058,-66.4318644818532,-2.65554870933522,-799.31882497791
"Δ Emissions (%)",-0.27662419795275,-0.457016201646676,-0.244502453229651,-0.0374833891054932,-0.287146860316571
"Δ Direct deaths",-0.0368967045666482,-13.10605754397,-0.111702623177234,-0.11722581091563,-13.3718826826295
"Δ Direct deaths (%)",-0.27662419795275,-0.457016201646676,-0.244502453229651,-0.0374833891054933,-0.412774955365115
"Δ Total deaths",-0.0402203537163528,-15.1279144855308,-4.49908548941272,-1.16003461117652,-20.8272549398364
"Δ Total deaths (%)",-0.27662419795275,-0.457016201646676,-0.244502453229651,-0.0374833891054933,-0.252158676596205
"Δ Direct time in agriculture (days)",-40.5125816141798,-642.196819654531,-18.7660406937753,-38.2298624060087,-739.705304368495
"Δ Direct time in agriculture (%)",-0.27662419795275,-0.457016201646676,-0.244502453229651,-0.0374833891054933,-0.279311667475631
"Δ Total time in agriculture (days)",-41.5970408510262,-653.744213264647,-24.0372634105926,-42.0040238778195,-761.382541404085
"Δ Total time in agriculture (%)",-0.27662419795275,-0.457016201646676,-0.244502453229651,-0.0374833891054932,-0.27194659447628
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
