"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0131825391468682,2.32251502736898,0.0517469779764863,1.5041974161152,NA
"Δ Consumer price (USD/kg)",0.0131825391468682,2.32251502736898,0.0517469779764863,1.5041974161152,NA
"Δ Consumer price (%)",0.00178349692167495,0.506579498630004,0.00573075273558216,0.0814025714270747,NA
"Δ Producer price (USD/kg)",0,0,0,0,NA
"Δ Producer price (%)",0,0,0,0,NA
"Δ Consumption (kg)",1.41995793242306,-10.0850854469796,0.815063437027714,-0.170576377840191,-8.02064045536899
"Δ Consumption (%)",0.056135439617646,-0.326706392528463,0.036928038839391,-0.0328170337143004,-0.0961319747436102
"Tax revenue (USD)",0.352173793781731,48.2708530447856,1.18431922107948,7.56193678268608,57.3692828423329
"Δ Emissions (kg CO2-eq.)",119.929646972452,-99.5397933616884,10.0334309098112,-2.3249560299618,28.0983284906128
"Δ Emissions (%)",0.0561354396176461,-0.326706392528463,0.036928038839391,-0.0328170337143004,0.0100940282576806
"Δ Direct deaths",0.00748746041242923,-9.36910500116411,0.016870827890125,-0.102632218719002,-9.44737893158056
"Δ Direct deaths (%)",0.056135439617646,-0.326706392528463,0.036928038839391,-0.0328170337143004,-0.291629945412716
"Δ Total deaths",0.00816192962927392,-10.8144664242513,0.679512215522529,-1.01562040821854,-11.142412687318
"Δ Total deaths (%)",0.056135439617646,-0.326706392528463,0.036928038839391,-0.0328170337143004,-0.134902849436429
"Δ Direct time in agriculture (days)",8.2212315328473,-459.086145057041,2.83429908554099,-33.4705775921204,-481.501192030773
"Δ Direct time in agriculture (%)",0.0561354396176459,-0.326706392528463,0.0369280388393911,-0.0328170337143005,-0.18181416307733
"Δ Total time in agriculture (days)",8.44130120302918,-467.341010630459,3.63042981816344,-36.7748888408992,-492.044168450166
"Δ Total time in agriculture (%)",0.056135439617646,-0.326706392528463,0.0369280388393909,-0.0328170337143004,-0.175745737083981
"SCAU threshold (direct deaths)",NA,NA,NA,NA,0.00297419302158889
"SCAU threshold (total deaths)",NA,NA,NA,NA,0.00252174544949259
"SCAU threshold (direct time)",NA,NA,NA,NA,0.0000583556779415345
"SCAU threshold (total time)",NA,NA,NA,NA,0.0000571052972319873
