"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.0263650782937365,4.64503005473796,0.103493955952973,3.0083948322304,NA
"Δ Consumer price (USD/kg)",0.0263650782937365,4.64503005473796,0.103493955952973,3.0083948322304,NA
"Δ Consumer price (%)",0.00356699384334991,1.01315899726001,0.0114615054711643,0.162805142854149,NA
"Δ Producer price (USD/kg)",0,0,0,0,NA
"Δ Producer price (%)",0,0,0,0,NA
"Δ Consumption (kg)",2.4782138857219,-15.1354516706246,1.41929904421665,-0.374093063482128,-11.6120318041682
"Δ Consumption (%)",0.0979716530785969,-0.490313031118604,0.064304111616972,-0.0719714231948379,-0.13917685929595
"Tax revenue (USD)",0.732248588626999,73.0826031933065,2.43117317547459,14.5116150200143,90.7576399774224
"Δ Emissions (kg CO2-eq.)",209.309944788072,-149.386907989065,17.471571234307,-5.0988884552614,72.2957195780526
"Δ Emissions (%)",0.097971653078597,-0.490313031118604,0.064304111616972,-0.0719714231948378,0.0259714750140393
"Δ Direct deaths",0.0130676606251366,-14.0609255804171,0.0293777745532508,-0.225083927790575,-14.2435640730293
"Δ Direct deaths (%)",0.0979716530785969,-0.490313031118604,0.064304111616972,-0.0719714231948379,-0.43968277796232
"Δ Total deaths",0.0142447933700653,-16.2300889534724,1.18325886576589,-2.22736908038578,-17.2599543747222
"Δ Total deaths (%)",0.0979716530785969,-0.490313031118604,0.0643041116169719,-0.0719714231948379,-0.208968837507062
"Δ Direct time in agriculture (days)",14.3482913664,-688.985353440436,4.93546612494613,-73.4047179714612,-743.106313920551
"Δ Direct time in agriculture (%)",0.0979716530785967,-0.490313031118604,0.0643041116169721,-0.0719714231948379,-0.280595883829732
"Δ Total time in agriculture (days)",14.7323729648881,-701.374055508537,6.32179697546634,-80.6514418930594,-760.971327461242
"Δ Total time in agriculture (%)",0.0979716530785969,-0.490313031118604,0.0643041116169721,-0.0719714231948379,-0.271799719252229
"SCAU threshold (direct deaths)",NA,NA,NA,NA,0.00507567622874302
"SCAU threshold (total deaths)",NA,NA,NA,NA,0.004188639089564
"SCAU threshold (direct time)",NA,NA,NA,NA,0.0000972885282008007
"SCAU threshold (total time)",NA,NA,NA,NA,0.0000950045250972151
